DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-01-30,2018-01-30,1713.7,1702.3,1100.0,0.0,1100,1708.0,1708.0,1708.0,SPX01191100C,2019-01-18,C
2018-01-30,2018-01-30,2.55,0.8,1100.0,8.0,1100,1.675,1.675,1.675,SPX01191100P,2019-01-18,P
2018-01-30,2018-01-30,1665.0,1653.4,1150.0,0.0,1150,1659.2,1659.2,1659.2,SPX01191150C,2019-01-18,C
2018-01-30,2018-01-30,1616.4,1604.5,1200.0,0.0,1200,1610.45,1610.45,1610.45,SPX01191200C,2019-01-18,C
2018-01-30,2018-01-30,1543.5,1531.2,1275.0,0.0,1275,1537.35,1537.35,1537.35,SPX01191275C,2019-01-18,C
2018-01-30,2018-01-30,3.6,0.45,1275.0,2.0,1275,2.025,2.025,2.025,SPX01191275P,2019-01-18,P
2018-01-30,2018-01-30,1519.2,1506.8,1300.0,0.0,1300,1513.0,1513.0,1513.0,SPX01191300C,2019-01-18,C
2018-01-30,2018-01-30,3.8,0.65,1300.0,12.0,1300,2.225,2.225,2.225,SPX01191300P,2019-01-18,P
2018-01-30,2018-01-30,1494.9,1482.5,1325.0,0.0,1325,1488.7,1488.7,1488.7,SPX01191325C,2019-01-18,C
2018-01-30,2018-01-30,4.0,0.85,1325.0,2.0,1325,2.425,2.425,2.425,SPX01191325P,2019-01-18,P
2018-01-30,2018-01-30,1446.5,1433.8,1375.0,0.0,1375,1440.15,1440.15,1440.15,SPX01191375C,2019-01-18,C
2018-01-30,2018-01-30,4.4,1.3,1375.0,0.0,1375,2.85,2.85,2.85,SPX01191375P,2019-01-18,P
2018-01-30,2018-01-30,1422.3,1409.6,1400.0,0.0,1400,1415.95,1415.95,1415.95,SPX01191400C,2019-01-18,C
2018-01-30,2018-01-30,4.7,1.55,1400.0,4.0,1400,3.125,3.125,3.125,SPX01191400P,2019-01-18,P
2018-01-30,2018-01-30,1398.1,1385.3,1425.0,0.0,1425,1391.7,1391.7,1391.7,SPX01191425C,2019-01-18,C
2018-01-30,2018-01-30,5.0,1.85,1425.0,0.0,1425,3.425,3.425,3.425,SPX01191425P,2019-01-18,P
2018-01-30,2018-01-30,1373.9,1361.2,1450.0,0.0,1450,1367.55,1367.55,1367.55,SPX01191450C,2019-01-18,C
2018-01-30,2018-01-30,5.3,2.15,1450.0,10.0,1450,3.725,3.725,3.725,SPX01191450P,2019-01-18,P
2018-01-30,2018-01-30,1349.8,1337.1,1475.0,0.0,1475,1343.45,1343.45,1343.45,SPX01191475C,2019-01-18,C
2018-01-30,2018-01-30,5.6,2.45,1475.0,0.0,1475,4.025,4.025,4.025,SPX01191475P,2019-01-18,P
2018-01-30,2018-01-30,1325.7,1313.0,1500.0,0.0,1500,1319.35,1319.35,1319.35,SPX01191500C,2019-01-18,C
2018-01-30,2018-01-30,6.0,3.2,1500.0,43.0,1500,4.6,4.6,4.6,SPX01191500P,2019-01-18,P
2018-01-30,2018-01-30,1301.6,1289.0,1525.0,0.0,1525,1295.3,1295.3,1295.3,SPX01191525C,2019-01-18,C
2018-01-30,2018-01-30,6.3,3.2,1525.0,2.0,1525,4.75,4.75,4.75,SPX01191525P,2019-01-18,P
2018-01-30,2018-01-30,1277.5,1264.9,1550.0,0.0,1550,1271.2,1271.2,1271.2,SPX01191550C,2019-01-18,C
2018-01-30,2018-01-30,6.8,3.6,1550.0,0.0,1550,5.2,5.2,5.2,SPX01191550P,2019-01-18,P
2018-01-30,2018-01-30,1253.5,1241.3,1575.0,0.0,1575,1247.4,1247.4,1247.4,SPX01191575C,2019-01-18,C
2018-01-30,2018-01-30,7.2,4.0,1575.0,0.0,1575,5.6,5.6,5.6,SPX01191575P,2019-01-18,P
2018-01-30,2018-01-30,1229.5,1217.5,1600.0,0.0,1600,1223.5,1223.5,1223.5,SPX01191600C,2019-01-18,C
2018-01-30,2018-01-30,7.6,4.5,1600.0,356.0,1600,6.05,6.05,6.05,SPX01191600P,2019-01-18,P
2018-01-30,2018-01-30,1205.5,1193.9,1625.0,0.0,1625,1199.7,1199.7,1199.7,SPX01191625C,2019-01-18,C
2018-01-30,2018-01-30,8.1,5.0,1625.0,12.0,1625,6.55,6.55,6.55,SPX01191625P,2019-01-18,P
2018-01-30,2018-01-30,1181.6,1170.3,1650.0,0.0,1650,1175.95,1175.95,1175.95,SPX01191650C,2019-01-18,C
2018-01-30,2018-01-30,8.7,5.5,1650.0,0.0,1650,7.1,7.1,7.1,SPX01191650P,2019-01-18,P
2018-01-30,2018-01-30,1157.7,1146.5,1675.0,0.0,1675,1152.1,1152.1,1152.1,SPX01191675C,2019-01-18,C
2018-01-30,2018-01-30,9.2,6.1,1675.0,0.0,1675,7.65,7.65,7.65,SPX01191675P,2019-01-18,P
2018-01-30,2018-01-30,1110.0,1098.7,1725.0,0.0,1725,1104.35,1104.35,1104.35,SPX01191725C,2019-01-18,C
2018-01-30,2018-01-30,10.5,7.3,1725.0,2.0,1725,8.9,8.9,8.9,SPX01191725P,2019-01-18,P
2018-01-30,2018-01-30,1086.2,1074.9,1750.0,0.0,1750,1080.55,1080.55,1080.55,SPX01191750C,2019-01-18,C
2018-01-30,2018-01-30,11.2,8.0,1750.0,3.0,1750,9.6,9.6,9.6,SPX01191750P,2019-01-18,P
2018-01-30,2018-01-30,1062.5,1051.0,1775.0,0.0,1775,1056.75,1056.75,1056.75,SPX01191775C,2019-01-18,C
2018-01-30,2018-01-30,11.9,8.7,1775.0,10.0,1775,10.3,10.3,10.3,SPX01191775P,2019-01-18,P
2018-01-30,2018-01-30,1038.8,1027.2,1800.0,0.0,1800,1033.0,1033.0,1033.0,SPX01191800C,2019-01-18,C
2018-01-30,2018-01-30,12.7,9.6,1800.0,1034.0,1800,11.15,11.15,11.15,SPX01191800P,2019-01-18,P
2018-01-30,2018-01-30,1015.2,1003.8,1825.0,0.0,1825,1009.5,1009.5,1009.5,SPX01191825C,2019-01-18,C
2018-01-30,2018-01-30,13.6,10.4,1825.0,1.0,1825,12.0,12.0,12.0,SPX01191825P,2019-01-18,P
2018-01-30,2018-01-30,991.6,980.2,1850.0,0.0,1850,985.9,985.9,985.9,SPX01191850C,2019-01-18,C
2018-01-30,2018-01-30,14.4,11.3,1850.0,1009.0,1850,12.85,12.85,12.85,SPX01191850P,2019-01-18,P
2018-01-30,2018-01-30,968.1,956.4,1875.0,0.0,1875,962.25,962.25,962.25,SPX01191875C,2019-01-18,C
2018-01-30,2018-01-30,15.4,12.2,1875.0,1.0,1875,13.8,13.8,13.8,SPX01191875P,2019-01-18,P
2018-01-30,2018-01-30,944.6,932.9,1900.0,0.0,1900,938.75,938.75,938.75,SPX01191900C,2019-01-18,C
2018-01-30,2018-01-30,16.5,13.2,1900.0,7101.0,1900,14.85,14.85,14.85,SPX01191900P,2019-01-18,P
2018-01-30,2018-01-30,921.2,909.5,1925.0,9.0,1925,915.35,915.35,915.35,SPX01191925C,2019-01-18,C
2018-01-30,2018-01-30,17.5,14.2,1925.0,12.0,1925,15.85,15.85,15.85,SPX01191925P,2019-01-18,P
2018-01-30,2018-01-30,897.8,886.1,1950.0,9.0,1950,891.95,891.95,891.95,SPX01191950C,2019-01-18,C
2018-01-30,2018-01-30,18.7,15.3,1950.0,236.0,1950,17.0,17.0,17.0,SPX01191950P,2019-01-18,P
2018-01-30,2018-01-30,874.6,862.8,1975.0,11.0,1975,868.7,868.7,868.7,SPX01191975C,2019-01-18,C
2018-01-30,2018-01-30,20.0,16.5,1975.0,6299.0,1975,18.25,18.25,18.25,SPX01191975P,2019-01-18,P
2018-01-30,2018-01-30,851.4,839.6,2000.0,3.0,2000,857.85,857.85,857.85,SPX01192000C,2019-01-18,C
2018-01-30,2018-01-30,21.4,17.8,2000.0,1217.0,2000,19.14,19.14,19.14,SPX01192000P,2019-01-18,P
2018-01-30,2018-01-30,828.2,816.5,2025.0,0.0,2025,822.35,822.35,822.35,SPX01192025C,2019-01-18,C
2018-01-30,2018-01-30,22.7,19.0,2025.0,1023.0,2025,20.85,20.85,20.85,SPX01192025P,2019-01-18,P
2018-01-30,2018-01-30,805.2,793.6,2050.0,0.0,2050,799.4,799.4,799.4,SPX01192050C,2019-01-18,C
2018-01-30,2018-01-30,24.2,20.4,2050.0,1701.0,2050,22.3,22.3,22.3,SPX01192050P,2019-01-18,P
2018-01-30,2018-01-30,782.3,770.6,2075.0,0.0,2075,776.45,776.45,776.45,SPX01192075C,2019-01-18,C
2018-01-30,2018-01-30,25.8,21.9,2075.0,260.0,2075,23.85,23.85,23.85,SPX01192075P,2019-01-18,P
2018-01-30,2018-01-30,759.4,747.7,2100.0,17.0,2100,753.55,753.55,753.55,SPX01192100C,2019-01-18,C
2018-01-30,2018-01-30,27.5,23.5,2100.0,3375.0,2100,25.5,25.5,25.5,SPX01192100P,2019-01-18,P
2018-01-30,2018-01-30,736.6,724.9,2125.0,0.0,2125,730.75,730.75,730.75,SPX01192125C,2019-01-18,C
2018-01-30,2018-01-30,29.2,25.1,2125.0,963.0,2125,27.15,27.15,27.15,SPX01192125P,2019-01-18,P
2018-01-30,2018-01-30,714.0,702.2,2150.0,0.0,2150,708.1,708.1,708.1,SPX01192150C,2019-01-18,C
2018-01-30,2018-01-30,31.1,26.9,2150.0,2062.0,2150,29.0,29.0,29.0,SPX01192150P,2019-01-18,P
2018-01-30,2018-01-30,691.4,679.6,2175.0,0.0,2175,685.5,685.5,685.5,SPX01192175C,2019-01-18,C
2018-01-30,2018-01-30,33.1,28.8,2175.0,53.0,2175,30.95,30.95,30.95,SPX01192175P,2019-01-18,P
2018-01-30,2018-01-30,669.0,656.9,2200.0,155.0,2200,662.95,662.95,662.95,SPX01192200C,2019-01-18,C
2018-01-30,2018-01-30,35.3,30.9,2200.0,4714.0,2200,33.1,33.1,33.1,SPX01192200P,2019-01-18,P
