DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-12-22,2017-12-22,1587.1,1580.1,1100.0,3162.0,1100,1583.6,1583.6,1583.6,SPX01181100C,2018-01-19,C
2017-12-22,2017-12-22,1562.1,1555.0,1125.0,45.0,1125,1558.55,1558.55,1558.55,SPX01181125C,2018-01-19,C
2017-12-22,2017-12-22,1537.3,1530.0,1150.0,1.0,1150,1533.65,1533.65,1533.65,SPX01181150C,2018-01-19,C
2017-12-22,2017-12-22,1512.2,1505.1,1175.0,32.0,1175,1508.65,1508.65,1508.65,SPX01181175C,2018-01-19,C
2017-12-22,2017-12-22,1487.0,1479.9,1200.0,98.0,1200,1483.45,1483.45,1483.45,SPX01181200C,2018-01-19,C
2017-12-22,2017-12-22,1462.3,1455.2,1225.0,12.0,1225,1458.75,1458.75,1458.75,SPX01181225C,2018-01-19,C
2017-12-22,2017-12-22,1412.4,1405.3,1275.0,75.0,1275,1408.85,1408.85,1408.85,SPX01181275C,2018-01-19,C
2017-12-22,2017-12-22,1387.2,1380.2,1300.0,218.0,1300,1383.7,1383.7,1383.7,SPX01181300C,2018-01-19,C
2017-12-22,2017-12-22,1362.4,1355.4,1325.0,19.0,1325,1358.9,1358.9,1358.9,SPX01181325C,2018-01-19,C
2017-12-22,2017-12-22,1312.5,1305.5,1375.0,140.0,1375,1309.0,1309.0,1309.0,SPX01181375C,2018-01-19,C
2017-12-22,2017-12-22,1287.6,1280.6,1400.0,170.0,1400,1284.1,1284.1,1284.1,SPX01181400C,2018-01-19,C
2017-12-22,2017-12-22,1237.7,1230.7,1450.0,1.0,1450,1234.2,1234.2,1234.2,SPX01181450C,2018-01-19,C
2017-12-22,2017-12-22,1212.7,1205.7,1475.0,18.0,1475,1209.2,1209.2,1209.2,SPX01181475C,2018-01-19,C
2017-12-22,2017-12-22,1187.8,1180.8,1500.0,820.0,1500,1184.3,1184.3,1184.3,SPX01181500C,2018-01-19,C
2017-12-22,2017-12-22,1162.8,1155.8,1525.0,38.0,1525,1159.3,1159.3,1159.3,SPX01181525C,2018-01-19,C
2017-12-22,2017-12-22,1137.9,1130.9,1550.0,42.0,1550,1134.4,1134.4,1134.4,SPX01181550C,2018-01-19,C
2017-12-22,2017-12-22,1112.9,1105.9,1575.0,3.0,1575,1109.4,1109.4,1109.4,SPX01181575C,2018-01-19,C
2017-12-22,2017-12-22,1087.9,1081.0,1600.0,3.0,1600,1084.45,1084.45,1084.45,SPX01181600C,2018-01-19,C
2017-12-22,2017-12-22,1063.0,1056.0,1625.0,0.0,1625,1059.5,1059.5,1059.5,SPX01181625C,2018-01-19,C
2017-12-22,2017-12-22,1038.0,1031.0,1650.0,0.0,1650,1034.5,1034.5,1034.5,SPX01181650C,2018-01-19,C
2017-12-22,2017-12-22,1013.1,1006.1,1675.0,2.0,1675,1009.6,1009.6,1009.6,SPX01181675C,2018-01-19,C
2017-12-22,2017-12-22,988.0,981.2,1700.0,297.0,1700,984.6,984.6,984.6,SPX01181700C,2018-01-19,C
2017-12-22,2017-12-22,963.2,956.2,1725.0,0.0,1725,959.7,959.7,959.7,SPX01181725C,2018-01-19,C
2017-12-22,2017-12-22,938.2,931.2,1750.0,3.0,1750,934.7,934.7,934.7,SPX01181750C,2018-01-19,C
2017-12-22,2017-12-22,913.3,906.3,1775.0,1.0,1775,909.8,909.8,909.8,SPX01181775C,2018-01-19,C
2017-12-22,2017-12-22,888.3,881.4,1800.0,23.0,1800,884.85,884.85,884.85,SPX01181800C,2018-01-19,C
2017-12-22,2017-12-22,863.4,856.4,1825.0,1.0,1825,859.9,859.9,859.9,SPX01181825C,2018-01-19,C
2017-12-22,2017-12-22,838.7,831.4,1850.0,29.0,1850,835.05,835.05,835.05,SPX01181850C,2018-01-19,C
2017-12-22,2017-12-22,813.4,806.5,1875.0,2.0,1875,809.95,809.95,809.95,SPX01181875C,2018-01-19,C
2017-12-22,2017-12-22,788.6,781.6,1900.0,302.0,1900,785.1,785.1,785.1,SPX01181900C,2018-01-19,C
2017-12-22,2017-12-22,0.1,0.05,1900.0,14146.0,1900,0.13,0.09,0.1,SPX01181900P,2018-01-19,P
2017-12-22,2017-12-22,763.6,756.6,1925.0,17.0,1925,760.1,760.1,760.1,SPX01181925C,2018-01-19,C
2017-12-22,2017-12-22,738.6,731.7,1950.0,10.0,1950,735.15,735.15,735.15,SPX01181950C,2018-01-19,C
2017-12-22,2017-12-22,0.15,0.1,1950.0,19443.0,1950,0.13,0.06,0.06,SPX01181950P,2018-01-19,P
2017-12-22,2017-12-22,713.7,706.7,1975.0,73.0,1975,710.2,710.2,710.2,SPX01181975C,2018-01-19,C
2017-12-22,2017-12-22,0.15,0.05,1975.0,6473.0,1975,0.08,0.06,0.06,SPX01181975P,2018-01-19,P
2017-12-22,2017-12-22,688.8,681.8,2000.0,52786.0,2000,685.0,684.95,685.0,SPX01182000C,2018-01-19,C
2017-12-22,2017-12-22,0.2,0.1,2000.0,74829.0,2000,0.15,0.1,0.12,SPX01182000P,2018-01-19,P
2017-12-22,2017-12-22,663.8,656.9,2025.0,52.0,2025,660.35,660.35,660.35,SPX01182025C,2018-01-19,C
2017-12-22,2017-12-22,0.2,0.05,2025.0,12191.0,2025,0.15,0.1,0.1,SPX01182025P,2018-01-19,P
2017-12-22,2017-12-22,639.2,631.9,2050.0,118.0,2050,635.55,635.55,635.55,SPX01182050C,2018-01-19,C
2017-12-22,2017-12-22,0.2,0.15,2050.0,24942.0,2050,0.2,0.12,0.12,SPX01182050P,2018-01-19,P
2017-12-22,2017-12-22,614.0,607.0,2075.0,91.0,2075,610.5,610.5,610.5,SPX01182075C,2018-01-19,C
2017-12-22,2017-12-22,0.25,0.1,2075.0,13217.0,2075,0.25,0.16,0.16,SPX01182075P,2018-01-19,P
2017-12-22,2017-12-22,589.1,582.1,2100.0,332.0,2100,584.79,584.79,584.79,SPX01182100C,2018-01-19,C
