DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-04-02,2018-04-02,1465.8,1452.5,1100.0,300.0,1100,1451.1,1451.1,1451.1,SPX01191100C,2019-01-18,C
2018-04-02,2018-04-02,3.0,1.1,1100.0,319.0,1100,2.5,2.4,2.5,SPX01191100P,2019-01-18,P
2018-04-02,2018-04-02,1417.3,1404.1,1150.0,0.0,1150,1410.7,1410.7,1410.7,SPX01191150C,2019-01-18,C
2018-04-02,2018-04-02,3.4,1.55,1150.0,3.0,1150,2.475,2.475,2.475,SPX01191150P,2019-01-18,P
2018-04-02,2018-04-02,1368.8,1355.7,1200.0,0.0,1200,1362.25,1362.25,1362.25,SPX01191200C,2019-01-18,C
2018-04-02,2018-04-02,3.9,2.05,1200.0,1518.0,1200,2.95,2.95,2.95,SPX01191200P,2019-01-18,P
2018-04-02,2018-04-02,1296.1,1283.0,1275.0,0.0,1275,1289.55,1289.55,1289.55,SPX01191275C,2019-01-18,C
2018-04-02,2018-04-02,4.8,2.95,1275.0,2.0,1275,3.875,3.875,3.875,SPX01191275P,2019-01-18,P
2018-04-02,2018-04-02,1272.1,1258.9,1300.0,0.0,1300,1265.5,1265.5,1265.5,SPX01191300C,2019-01-18,C
2018-04-02,2018-04-02,5.2,3.3,1300.0,1501.0,1300,4.25,4.25,4.25,SPX01191300P,2019-01-18,P
2018-04-02,2018-04-02,1247.9,1234.9,1325.0,0.0,1325,1241.4,1241.4,1241.4,SPX01191325C,2019-01-18,C
2018-04-02,2018-04-02,5.6,3.7,1325.0,32.0,1325,4.65,4.65,4.65,SPX01191325P,2019-01-18,P
2018-04-02,2018-04-02,1199.8,1186.7,1375.0,0.0,1375,1193.25,1193.25,1193.25,SPX01191375C,2019-01-18,C
2018-04-02,2018-04-02,6.5,4.6,1375.0,1.0,1375,5.55,5.55,5.55,SPX01191375P,2019-01-18,P
2018-04-02,2018-04-02,1175.9,1162.7,1400.0,0.0,1400,1169.3,1169.3,1169.3,SPX01191400C,2019-01-18,C
2018-04-02,2018-04-02,7.0,5.1,1400.0,9.0,1400,6.05,6.05,6.05,SPX01191400P,2019-01-18,P
2018-04-02,2018-04-02,1152.3,1138.7,1425.0,0.0,1425,1145.5,1145.5,1145.5,SPX01191425C,2019-01-18,C
2018-04-02,2018-04-02,7.5,5.6,1425.0,0.0,1425,6.55,6.55,6.55,SPX01191425P,2019-01-18,P
2018-04-02,2018-04-02,1128.4,1114.8,1450.0,0.0,1450,1121.6,1121.6,1121.6,SPX01191450C,2019-01-18,C
2018-04-02,2018-04-02,8.1,6.2,1450.0,30.0,1450,7.15,7.15,7.15,SPX01191450P,2019-01-18,P
2018-04-02,2018-04-02,1104.1,1090.9,1475.0,0.0,1475,1097.5,1097.5,1097.5,SPX01191475C,2019-01-18,C
2018-04-02,2018-04-02,8.9,6.9,1475.0,0.0,1475,7.9,7.9,7.9,SPX01191475P,2019-01-18,P
2018-04-02,2018-04-02,1080.3,1067.0,1500.0,0.0,1500,1073.65,1073.65,1073.65,SPX01191500C,2019-01-18,C
2018-04-02,2018-04-02,9.5,7.6,1500.0,1523.0,1500,8.55,8.55,8.55,SPX01191500P,2019-01-18,P
2018-04-02,2018-04-02,1056.5,1043.2,1525.0,0.0,1525,1049.85,1049.85,1049.85,SPX01191525C,2019-01-18,C
2018-04-02,2018-04-02,10.3,8.3,1525.0,2.0,1525,9.3,9.3,9.3,SPX01191525P,2019-01-18,P
