DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-03-06,2018-03-06,1621.0,1606.5,1100.0,0.0,1100,1613.75,1613.75,1613.75,SPX01191100C,2019-01-18,C
2018-03-06,2018-03-06,4.0,1.15,1100.0,20.0,1100,2.575,2.575,2.575,SPX01191100P,2019-01-18,P
2018-03-06,2018-03-06,1572.4,1558.0,1150.0,0.0,1150,1565.2,1565.2,1565.2,SPX01191150C,2019-01-18,C
2018-03-06,2018-03-06,4.3,1.5,1150.0,3.0,1150,2.9,2.9,2.9,SPX01191150P,2019-01-18,P
2018-03-06,2018-03-06,1523.9,1510.1,1200.0,0.0,1200,1517.0,1517.0,1517.0,SPX01191200C,2019-01-18,C
2018-03-06,2018-03-06,4.7,1.9,1200.0,7.0,1200,3.3,3.3,3.3,SPX01191200P,2019-01-18,P
2018-03-06,2018-03-06,1451.6,1437.6,1275.0,0.0,1275,1444.6,1444.6,1444.6,SPX01191275C,2019-01-18,C
2018-03-06,2018-03-06,5.5,2.65,1275.0,2.0,1275,4.075,4.075,4.075,SPX01191275P,2019-01-18,P
2018-03-06,2018-03-06,1427.7,1412.9,1300.0,0.0,1300,1420.3,1420.3,1420.3,SPX01191300C,2019-01-18,C
2018-03-06,2018-03-06,5.8,3.0,1300.0,1501.0,1300,4.4,4.4,4.4,SPX01191300P,2019-01-18,P
2018-03-06,2018-03-06,1403.8,1388.8,1325.0,0.0,1325,1396.3,1396.3,1396.3,SPX01191325C,2019-01-18,C
2018-03-06,2018-03-06,6.1,3.3,1325.0,2.0,1325,4.7,4.7,4.7,SPX01191325P,2019-01-18,P
2018-03-06,2018-03-06,1356.2,1340.7,1375.0,0.0,1375,1348.45,1348.45,1348.45,SPX01191375C,2019-01-18,C
2018-03-06,2018-03-06,6.8,4.0,1375.0,1.0,1375,5.4,5.4,5.4,SPX01191375P,2019-01-18,P
2018-03-06,2018-03-06,1332.1,1317.2,1400.0,0.0,1400,1324.65,1324.65,1324.65,SPX01191400C,2019-01-18,C
2018-03-06,2018-03-06,7.2,4.4,1400.0,9.0,1400,5.8,5.8,5.8,SPX01191400P,2019-01-18,P
2018-03-06,2018-03-06,1308.1,1293.2,1425.0,0.0,1425,1300.65,1300.65,1300.65,SPX01191425C,2019-01-18,C
2018-03-06,2018-03-06,7.6,4.8,1425.0,0.0,1425,6.2,6.2,6.2,SPX01191425P,2019-01-18,P
2018-03-06,2018-03-06,1284.1,1268.7,1450.0,0.0,1450,1276.4,1276.4,1276.4,SPX01191450C,2019-01-18,C
2018-03-06,2018-03-06,8.1,5.3,1450.0,30.0,1450,6.7,6.7,6.7,SPX01191450P,2019-01-18,P
2018-03-06,2018-03-06,1260.1,1245.3,1475.0,0.0,1475,1252.7,1252.7,1252.7,SPX01191475C,2019-01-18,C
2018-03-06,2018-03-06,8.6,5.7,1475.0,0.0,1475,7.15,7.15,7.15,SPX01191475P,2019-01-18,P
2018-03-06,2018-03-06,1236.1,1221.4,1500.0,0.0,1500,1228.75,1228.75,1228.75,SPX01191500C,2019-01-18,C
2018-03-06,2018-03-06,9.1,6.3,1500.0,53.0,1500,7.7,7.7,7.7,SPX01191500P,2019-01-18,P
2018-03-06,2018-03-06,1212.2,1197.5,1525.0,0.0,1525,1204.85,1204.85,1204.85,SPX01191525C,2019-01-18,C
2018-03-06,2018-03-06,9.6,6.8,1525.0,2.0,1525,8.2,8.2,8.2,SPX01191525P,2019-01-18,P
2018-03-06,2018-03-06,1188.3,1173.1,1550.0,0.0,1550,1180.7,1180.7,1180.7,SPX01191550C,2019-01-18,C
2018-03-06,2018-03-06,10.2,7.4,1550.0,12.0,1550,8.3,8.3,8.3,SPX01191550P,2019-01-18,P
2018-03-06,2018-03-06,1164.4,1149.3,1575.0,0.0,1575,1156.85,1156.85,1156.85,SPX01191575C,2019-01-18,C
2018-03-06,2018-03-06,10.8,8.0,1575.0,1.0,1575,9.4,9.4,9.4,SPX01191575P,2019-01-18,P
2018-03-06,2018-03-06,1140.6,1126.1,1600.0,0.0,1600,1133.35,1133.35,1133.35,SPX01191600C,2019-01-18,C
2018-03-06,2018-03-06,11.5,8.6,1600.0,356.0,1600,10.05,10.05,10.05,SPX01191600P,2019-01-18,P
2018-03-06,2018-03-06,1116.8,1102.2,1625.0,0.0,1625,1109.5,1109.5,1109.5,SPX01191625C,2019-01-18,C
2018-03-06,2018-03-06,12.2,9.3,1625.0,12.0,1625,10.75,10.75,10.75,SPX01191625P,2019-01-18,P
2018-03-06,2018-03-06,1093.1,1078.7,1650.0,0.0,1650,1085.9,1085.9,1085.9,SPX01191650C,2019-01-18,C
2018-03-06,2018-03-06,12.9,10.1,1650.0,0.0,1650,11.5,11.5,11.5,SPX01191650P,2019-01-18,P
2018-03-06,2018-03-06,1069.4,1054.5,1675.0,0.0,1675,1061.95,1061.95,1061.95,SPX01191675C,2019-01-18,C
2018-03-06,2018-03-06,13.7,10.9,1675.0,0.0,1675,12.3,12.3,12.3,SPX01191675P,2019-01-18,P
2018-03-06,2018-03-06,1022.1,1007.8,1725.0,0.0,1725,1014.95,1014.95,1014.95,SPX01191725C,2019-01-18,C
2018-03-06,2018-03-06,15.4,12.6,1725.0,23.0,1725,14.0,14.0,14.0,SPX01191725P,2019-01-18,P
2018-03-06,2018-03-06,998.5,984.3,1750.0,0.0,1750,991.4,991.4,991.4,SPX01191750C,2019-01-18,C
2018-03-06,2018-03-06,16.3,13.5,1750.0,2.0,1750,14.9,14.9,14.9,SPX01191750P,2019-01-18,P
2018-03-06,2018-03-06,975.0,961.0,1775.0,0.0,1775,968.0,968.0,968.0,SPX01191775C,2019-01-18,C
2018-03-06,2018-03-06,17.3,14.5,1775.0,30.0,1775,15.9,15.9,15.9,SPX01191775P,2019-01-18,P
2018-03-06,2018-03-06,951.5,937.6,1800.0,0.0,1800,944.55,944.55,944.55,SPX01191800C,2019-01-18,C
2018-03-06,2018-03-06,18.4,15.6,1800.0,2334.0,1800,17.0,17.0,17.0,SPX01191800P,2019-01-18,P
2018-03-06,2018-03-06,928.1,914.3,1825.0,0.0,1825,921.2,921.2,921.2,SPX01191825C,2019-01-18,C
2018-03-06,2018-03-06,19.5,16.6,1825.0,27.0,1825,18.05,18.05,18.05,SPX01191825P,2019-01-18,P
2018-03-06,2018-03-06,904.8,890.9,1850.0,3.0,1850,897.85,897.85,897.85,SPX01191850C,2019-01-18,C
2018-03-06,2018-03-06,20.6,17.8,1850.0,1207.0,1850,19.2,19.2,19.2,SPX01191850P,2019-01-18,P
2018-03-06,2018-03-06,881.5,867.9,1875.0,0.0,1875,874.7,874.7,874.7,SPX01191875C,2019-01-18,C
2018-03-06,2018-03-06,21.9,19.0,1875.0,1.0,1875,20.45,20.45,20.45,SPX01191875P,2019-01-18,P
2018-03-06,2018-03-06,858.3,844.8,1900.0,0.0,1900,851.55,851.55,851.55,SPX01191900C,2019-01-18,C
2018-03-06,2018-03-06,23.3,20.3,1900.0,7101.0,1900,21.8,21.8,21.8,SPX01191900P,2019-01-18,P
2018-03-06,2018-03-06,835.2,821.7,1925.0,9.0,1925,828.45,828.45,828.45,SPX01191925C,2019-01-18,C
2018-03-06,2018-03-06,24.6,21.6,1925.0,212.0,1925,23.1,23.1,23.1,SPX01191925P,2019-01-18,P
2018-03-06,2018-03-06,812.2,798.8,1950.0,9.0,1950,805.5,805.5,805.5,SPX01191950C,2019-01-18,C
2018-03-06,2018-03-06,26.2,23.1,1950.0,1964.0,1950,24.65,24.65,24.65,SPX01191950P,2019-01-18,P
2018-03-06,2018-03-06,789.2,775.9,1975.0,11.0,1975,782.55,782.55,782.55,SPX01191975C,2019-01-18,C
2018-03-06,2018-03-06,27.8,24.6,1975.0,6299.0,1975,26.2,26.2,26.2,SPX01191975P,2019-01-18,P
2018-03-06,2018-03-06,766.4,753.1,2000.0,6.0,2000,755.3,755.3,755.3,SPX01192000C,2019-01-18,C
2018-03-06,2018-03-06,29.5,26.2,2000.0,2035.0,2000,27.85,27.85,27.85,SPX01192000P,2019-01-18,P
2018-03-06,2018-03-06,743.6,730.4,2025.0,0.0,2025,737.0,737.0,737.0,SPX01192025C,2019-01-18,C
2018-03-06,2018-03-06,31.2,27.9,2025.0,1067.0,2025,29.55,29.55,29.55,SPX01192025P,2019-01-18,P
2018-03-06,2018-03-06,721.0,707.4,2050.0,4.0,2050,714.2,714.2,714.2,SPX01192050C,2019-01-18,C
2018-03-06,2018-03-06,33.1,29.7,2050.0,2000.0,2050,32.0,30.5,30.5,SPX01192050P,2019-01-18,P
2018-03-06,2018-03-06,698.5,685.3,2075.0,2.0,2075,691.9,691.9,691.9,SPX01192075C,2019-01-18,C
2018-03-06,2018-03-06,35.0,31.5,2075.0,264.0,2075,33.25,33.25,33.25,SPX01192075P,2019-01-18,P
2018-03-06,2018-03-06,676.0,662.9,2100.0,17.0,2100,669.45,669.45,669.45,SPX01192100C,2019-01-18,C
2018-03-06,2018-03-06,37.2,33.7,2100.0,4629.0,2100,35.45,35.45,35.45,SPX01192100P,2019-01-18,P
2018-03-06,2018-03-06,653.7,640.5,2125.0,0.0,2125,647.1,647.1,647.1,SPX01192125C,2019-01-18,C
2018-03-06,2018-03-06,39.4,35.8,2125.0,877.0,2125,37.6,37.6,37.6,SPX01192125P,2019-01-18,P
2018-03-06,2018-03-06,631.5,618.5,2150.0,0.0,2150,625.0,625.0,625.0,SPX01192150C,2019-01-18,C
2018-03-06,2018-03-06,41.7,38.0,2150.0,2061.0,2150,38.0,38.0,38.0,SPX01192150P,2019-01-18,P
2018-03-06,2018-03-06,609.5,596.1,2175.0,0.0,2175,602.8,602.8,602.8,SPX01192175C,2019-01-18,C
2018-03-06,2018-03-06,44.1,40.4,2175.0,94.0,2175,42.25,42.25,42.25,SPX01192175P,2019-01-18,P
2018-03-06,2018-03-06,587.6,574.7,2200.0,155.0,2200,581.15,581.15,581.15,SPX01192200C,2019-01-18,C
2018-03-06,2018-03-06,46.8,42.9,2200.0,6020.0,2200,44.85,44.85,44.85,SPX01192200P,2019-01-18,P
2018-03-06,2018-03-06,565.8,553.0,2225.0,12.0,2225,559.4,559.4,559.4,SPX01192225C,2019-01-18,C
2018-03-06,2018-03-06,49.5,45.5,2225.0,434.0,2225,47.5,47.5,47.5,SPX01192225P,2019-01-18,P
2018-03-06,2018-03-06,544.2,531.4,2250.0,33.0,2250,537.8,537.8,537.8,SPX01192250C,2019-01-18,C
2018-03-06,2018-03-06,52.4,48.3,2250.0,1332.0,2250,50.35,50.35,50.35,SPX01192250P,2019-01-18,P
2018-03-06,2018-03-06,522.6,510.0,2275.0,4.0,2275,516.3,516.3,516.3,SPX01192275C,2019-01-18,C
2018-03-06,2018-03-06,55.5,51.3,2275.0,1165.0,2275,53.4,53.4,53.4,SPX01192275P,2019-01-18,P
2018-03-06,2018-03-06,501.0,488.7,2300.0,394.0,2300,494.85,494.85,494.85,SPX01192300C,2019-01-18,C
2018-03-06,2018-03-06,58.8,54.6,2300.0,3335.0,2300,56.38,56.38,56.38,SPX01192300P,2019-01-18,P
2018-03-06,2018-03-06,479.6,467.6,2325.0,51.0,2325,473.6,473.6,473.6,SPX01192325C,2019-01-18,C
2018-03-06,2018-03-06,62.3,57.9,2325.0,475.0,2325,60.1,60.1,60.1,SPX01192325P,2019-01-18,P
2018-03-06,2018-03-06,458.5,446.8,2350.0,90.0,2350,452.65,452.65,452.65,SPX01192350C,2019-01-18,C
2018-03-06,2018-03-06,66.0,61.5,2350.0,3487.0,2350,63.75,63.75,63.75,SPX01192350P,2019-01-18,P
2018-03-06,2018-03-06,437.8,426.3,2375.0,64.0,2375,432.05,432.05,432.05,SPX01192375C,2019-01-18,C
2018-03-06,2018-03-06,69.7,65.1,2375.0,431.0,2375,67.4,67.4,67.4,SPX01192375P,2019-01-18,P
2018-03-06,2018-03-06,417.1,405.9,2400.0,114.0,2400,406.94,406.94,406.94,SPX01192400C,2019-01-18,C
2018-03-06,2018-03-06,73.8,69.1,2400.0,852.0,2400,71.7,71.7,71.7,SPX01192400P,2019-01-18,P
2018-03-06,2018-03-06,396.8,385.8,2425.0,66.0,2425,391.3,391.3,391.3,SPX01192425C,2019-01-18,C
2018-03-06,2018-03-06,78.1,73.3,2425.0,3548.0,2425,75.7,75.7,75.7,SPX01192425P,2019-01-18,P
2018-03-06,2018-03-06,376.6,366.0,2450.0,194.0,2450,371.3,371.3,371.3,SPX01192450C,2019-01-18,C
2018-03-06,2018-03-06,82.8,77.9,2450.0,1009.0,2450,80.35,80.35,80.35,SPX01192450P,2019-01-18,P
2018-03-06,2018-03-06,356.6,346.2,2475.0,99.0,2475,351.4,351.4,351.4,SPX01192475C,2019-01-18,C
2018-03-06,2018-03-06,87.6,82.6,2475.0,2061.0,2475,85.1,85.1,85.1,SPX01192475P,2019-01-18,P
2018-03-06,2018-03-06,337.0,327.0,2500.0,151.0,2500,332.0,332.0,332.0,SPX01192500C,2019-01-18,C
2018-03-06,2018-03-06,92.8,87.6,2500.0,3879.0,2500,88.7,88.34,88.7,SPX01192500P,2019-01-18,P
2018-03-06,2018-03-06,280.0,270.8,2575.0,1446.0,2575,275.4,275.4,275.4,SPX01192575C,2019-01-18,C
2018-03-06,2018-03-06,110.2,104.6,2575.0,3461.0,2575,107.4,107.4,107.4,SPX01192575P,2019-01-18,P
2018-03-06,2018-03-06,261.6,252.7,2600.0,531.0,2600,257.15,257.15,257.15,SPX01192600C,2019-01-18,C
2018-03-06,2018-03-06,116.5,110.7,2600.0,1695.0,2600,113.6,113.6,113.6,SPX01192600P,2019-01-18,P
2018-03-06,2018-03-06,243.7,235.1,2625.0,444.0,2625,239.4,239.4,239.4,SPX01192625C,2019-01-18,C
2018-03-06,2018-03-06,123.4,117.4,2625.0,656.0,2625,120.4,120.4,120.4,SPX01192625P,2019-01-18,P
2018-03-06,2018-03-06,226.2,217.9,2650.0,2797.0,2650,222.05,222.05,222.05,SPX01192650C,2019-01-18,C
2018-03-06,2018-03-06,130.7,124.6,2650.0,1223.0,2650,127.65,127.65,127.65,SPX01192650P,2019-01-18,P
2018-03-06,2018-03-06,209.1,201.2,2675.0,2494.0,2675,205.15,205.15,205.15,SPX01192675C,2019-01-18,C
2018-03-06,2018-03-06,138.6,132.1,2675.0,1352.0,2675,135.35,135.35,135.35,SPX01192675P,2019-01-18,P
2018-03-06,2018-03-06,192.5,184.8,2700.0,3925.0,2700,188.65,188.65,188.65,SPX01192700C,2019-01-18,C
2018-03-06,2018-03-06,146.6,140.0,2700.0,4847.0,2700,143.3,143.3,143.3,SPX01192700P,2019-01-18,P
2018-03-06,2018-03-06,176.1,168.7,2725.0,1719.0,2725,172.4,172.4,172.4,SPX01192725C,2019-01-18,C
2018-03-06,2018-03-06,155.4,148.5,2725.0,927.0,2725,152.5,152.5,152.5,SPX01192725P,2019-01-18,P
2018-03-06,2018-03-06,160.8,153.7,2750.0,3253.0,2750,157.25,157.25,157.25,SPX01192750C,2019-01-18,C
2018-03-06,2018-03-06,164.7,157.5,2750.0,2414.0,2750,161.1,161.1,161.1,SPX01192750P,2019-01-18,P
2018-03-06,2018-03-06,145.7,138.9,2775.0,377.0,2775,142.3,142.3,142.3,SPX01192775C,2019-01-18,C
2018-03-06,2018-03-06,174.6,167.1,2775.0,1266.0,2775,170.85,170.85,170.85,SPX01192775P,2019-01-18,P
2018-03-06,2018-03-06,131.4,124.8,2800.0,4722.0,2800,127.5,127.3,127.5,SPX01192800C,2019-01-18,C
2018-03-06,2018-03-06,185.2,177.2,2800.0,1774.0,2800,181.25,181.25,181.25,SPX01192800P,2019-01-18,P
2018-03-06,2018-03-06,117.6,111.3,2825.0,1041.0,2825,114.45,114.45,114.45,SPX01192825C,2019-01-18,C
2018-03-06,2018-03-06,196.5,188.1,2825.0,626.0,2825,192.3,192.3,192.3,SPX01192825P,2019-01-18,P
2018-03-06,2018-03-06,104.7,98.7,2850.0,6861.0,2850,101.7,101.7,101.7,SPX01192850C,2019-01-18,C
2018-03-06,2018-03-06,208.7,199.9,2850.0,3378.0,2850,204.3,204.3,204.3,SPX01192850P,2019-01-18,P
2018-03-06,2018-03-06,92.6,86.8,2875.0,2439.0,2875,89.7,89.7,89.7,SPX01192875C,2019-01-18,C
2018-03-06,2018-03-06,221.5,212.3,2875.0,450.0,2875,216.9,216.9,216.9,SPX01192875P,2019-01-18,P
