DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-12-20,2017-12-20,1582.7,1576.2,1100.0,3162.0,1100,1582.08,1581.68,1581.68,SPX01181100C,2018-01-19,C
2017-12-20,2017-12-20,1557.7,1551.2,1125.0,45.0,1125,1554.45,1554.45,1554.45,SPX01181125C,2018-01-19,C
2017-12-20,2017-12-20,1532.8,1526.3,1150.0,1.0,1150,1529.55,1529.55,1529.55,SPX01181150C,2018-01-19,C
2017-12-20,2017-12-20,1507.8,1501.3,1175.0,32.0,1175,1504.55,1504.55,1504.55,SPX01181175C,2018-01-19,C
2017-12-20,2017-12-20,1482.9,1476.4,1200.0,98.0,1200,1479.65,1479.65,1479.65,SPX01181200C,2018-01-19,C
2017-12-20,2017-12-20,1457.9,1451.4,1225.0,12.0,1225,1454.65,1454.65,1454.65,SPX01181225C,2018-01-19,C
2017-12-20,2017-12-20,1408.1,1401.5,1275.0,75.0,1275,1404.8,1404.8,1404.8,SPX01181275C,2018-01-19,C
2017-12-20,2017-12-20,1383.1,1376.6,1300.0,218.0,1300,1379.85,1379.85,1379.85,SPX01181300C,2018-01-19,C
2017-12-20,2017-12-20,1358.2,1351.7,1325.0,19.0,1325,1354.95,1354.95,1354.95,SPX01181325C,2018-01-19,C
2017-12-20,2017-12-20,1308.3,1301.8,1375.0,140.0,1375,1305.05,1305.05,1305.05,SPX01181375C,2018-01-19,C
2017-12-20,2017-12-20,1283.3,1276.8,1400.0,170.0,1400,1280.05,1280.05,1280.05,SPX01181400C,2018-01-19,C
2017-12-20,2017-12-20,1233.4,1226.9,1450.0,1.0,1450,1230.15,1230.15,1230.15,SPX01181450C,2018-01-19,C
2017-12-20,2017-12-20,1208.5,1202.0,1475.0,18.0,1475,1205.25,1205.25,1205.25,SPX01181475C,2018-01-19,C
2017-12-20,2017-12-20,1183.5,1177.0,1500.0,820.0,1500,1180.25,1180.25,1180.25,SPX01181500C,2018-01-19,C
2017-12-20,2017-12-20,1158.6,1152.1,1525.0,38.0,1525,1155.35,1155.35,1155.35,SPX01181525C,2018-01-19,C
2017-12-20,2017-12-20,1133.6,1127.1,1550.0,42.0,1550,1130.35,1130.35,1130.35,SPX01181550C,2018-01-19,C
2017-12-20,2017-12-20,1108.7,1102.2,1575.0,3.0,1575,1105.45,1105.45,1105.45,SPX01181575C,2018-01-19,C
2017-12-20,2017-12-20,1083.7,1077.3,1600.0,3.0,1600,1080.5,1080.5,1080.5,SPX01181600C,2018-01-19,C
2017-12-20,2017-12-20,1058.8,1052.3,1625.0,0.0,1625,1055.55,1055.55,1055.55,SPX01181625C,2018-01-19,C
2017-12-20,2017-12-20,1033.8,1027.4,1650.0,0.0,1650,1030.6,1030.6,1030.6,SPX01181650C,2018-01-19,C
2017-12-20,2017-12-20,1008.9,1002.4,1675.0,2.0,1675,1005.65,1005.65,1005.65,SPX01181675C,2018-01-19,C
2017-12-20,2017-12-20,984.0,977.5,1700.0,297.0,1700,980.75,980.75,980.75,SPX01181700C,2018-01-19,C
2017-12-20,2017-12-20,959.0,952.5,1725.0,0.0,1725,955.75,955.75,955.75,SPX01181725C,2018-01-19,C
2017-12-20,2017-12-20,934.1,927.6,1750.0,3.0,1750,930.85,930.85,930.85,SPX01181750C,2018-01-19,C
2017-12-20,2017-12-20,909.1,902.7,1775.0,1.0,1775,905.9,905.9,905.9,SPX01181775C,2018-01-19,C
2017-12-20,2017-12-20,884.2,877.7,1800.0,23.0,1800,880.95,880.95,880.95,SPX01181800C,2018-01-19,C
2017-12-20,2017-12-20,0.1,0.05,1800.0,11349.0,1800,0.05,0.05,0.05,SPX01181800P,2018-01-19,P
2017-12-20,2017-12-20,859.2,852.8,1825.0,1.0,1825,856.0,856.0,856.0,SPX01181825C,2018-01-19,C
2017-12-20,2017-12-20,0.1,0.05,1825.0,3582.0,1825,0.05,0.05,0.05,SPX01181825P,2018-01-19,P
2017-12-20,2017-12-20,834.3,827.8,1850.0,29.0,1850,831.05,831.05,831.05,SPX01181850C,2018-01-19,C
2017-12-20,2017-12-20,0.1,0.05,1850.0,8240.0,1850,0.05,0.05,0.05,SPX01181850P,2018-01-19,P
2017-12-20,2017-12-20,809.4,802.9,1875.0,2.0,1875,806.15,806.15,806.15,SPX01181875C,2018-01-19,C
2017-12-20,2017-12-20,0.1,0.05,1875.0,3356.0,1875,0.05,0.05,0.05,SPX01181875P,2018-01-19,P
2017-12-20,2017-12-20,784.4,778.0,1900.0,302.0,1900,781.2,781.2,781.2,SPX01181900C,2018-01-19,C
2017-12-20,2017-12-20,0.1,0.05,1900.0,14213.0,1900,0.1,0.05,0.05,SPX01181900P,2018-01-19,P
2017-12-20,2017-12-20,759.5,753.0,1925.0,17.0,1925,756.25,756.25,756.25,SPX01181925C,2018-01-19,C
2017-12-20,2017-12-20,0.1,0.05,1925.0,5983.0,1925,0.1,0.05,0.05,SPX01181925P,2018-01-19,P
2017-12-20,2017-12-20,734.6,728.1,1950.0,10.0,1950,731.35,731.35,731.35,SPX01181950C,2018-01-19,C
2017-12-20,2017-12-20,0.15,0.05,1950.0,15622.0,1950,0.1,0.05,0.05,SPX01181950P,2018-01-19,P
2017-12-20,2017-12-20,709.6,703.2,1975.0,73.0,1975,706.4,706.4,706.4,SPX01181975C,2018-01-19,C
2017-12-20,2017-12-20,0.1,0.05,1975.0,6516.0,1975,0.1,0.05,0.05,SPX01181975P,2018-01-19,P
2017-12-20,2017-12-20,684.7,678.3,2000.0,51609.0,2000,687.2,683.4,687.2,SPX01182000C,2018-01-19,C
2017-12-20,2017-12-20,0.15,0.1,2000.0,74299.0,2000,0.15,0.07,0.1,SPX01182000P,2018-01-19,P
2017-12-20,2017-12-20,659.8,653.3,2025.0,52.0,2025,656.55,656.55,656.55,SPX01182025C,2018-01-19,C
2017-12-20,2017-12-20,0.2,0.1,2025.0,12749.0,2025,0.2,0.05,0.05,SPX01182025P,2018-01-19,P
2017-12-20,2017-12-20,634.9,628.4,2050.0,118.0,2050,631.65,631.65,631.65,SPX01182050C,2018-01-19,C
2017-12-20,2017-12-20,0.25,0.15,2050.0,18238.0,2050,0.2,0.05,0.05,SPX01182050P,2018-01-19,P
2017-12-20,2017-12-20,610.0,603.5,2075.0,91.0,2075,606.75,606.75,606.75,SPX01182075C,2018-01-19,C
2017-12-20,2017-12-20,0.25,0.2,2075.0,8506.0,2075,0.15,0.1,0.1,SPX01182075P,2018-01-19,P
2017-12-20,2017-12-20,585.0,578.6,2100.0,332.0,2100,581.8,581.8,581.8,SPX01182100C,2018-01-19,C
2017-12-20,2017-12-20,0.25,0.2,2100.0,22597.0,2100,0.3,0.15,0.15,SPX01182100P,2018-01-19,P
2017-12-20,2017-12-20,560.1,553.7,2125.0,65.0,2125,556.9,556.9,556.9,SPX01182125C,2018-01-19,C
2017-12-20,2017-12-20,0.35,0.3,2125.0,9033.0,2125,0.3,0.15,0.15,SPX01182125P,2018-01-19,P
2017-12-20,2017-12-20,535.3,528.8,2150.0,1212.0,2150,532.05,532.05,532.05,SPX01182150C,2018-01-19,C
2017-12-20,2017-12-20,0.4,0.3,2150.0,14341.0,2150,0.35,0.2,0.2,SPX01182150P,2018-01-19,P
2017-12-20,2017-12-20,510.4,503.9,2175.0,71.0,2175,507.15,507.15,507.15,SPX01182175C,2018-01-19,C
2017-12-20,2017-12-20,0.45,0.3,2175.0,5646.0,2175,0.4,0.2,0.2,SPX01182175P,2018-01-19,P
2017-12-20,2017-12-20,485.5,479.0,2200.0,902.0,2200,482.25,482.25,482.25,SPX01182200C,2018-01-19,C
2017-12-20,2017-12-20,0.5,0.45,2200.0,40853.0,2200,0.55,0.25,0.25,SPX01182200P,2018-01-19,P
2017-12-20,2017-12-20,460.6,454.2,2225.0,334.0,2225,457.4,457.4,457.4,SPX01182225C,2018-01-19,C
2017-12-20,2017-12-20,0.65,0.45,2225.0,11129.0,2225,0.6,0.35,0.35,SPX01182225P,2018-01-19,P
2017-12-20,2017-12-20,435.8,429.3,2250.0,4204.0,2250,432.55,432.55,432.55,SPX01182250C,2018-01-19,C
2017-12-20,2017-12-20,0.85,0.55,2250.0,35744.0,2250,0.65,0.4,0.4,SPX01182250P,2018-01-19,P
