DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-04-18,2018-04-18,1602.3,1582.7,1100.0,301.0,1100,1592.5,1592.5,1592.5,SPX01191100C,2019-01-18,C
2018-04-18,2018-04-18,2.4,0.4,1100.0,319.0,1100,1.4,1.4,1.4,SPX01191100P,2019-01-18,P
2018-04-18,2018-04-18,1553.5,1533.9,1150.0,0.0,1150,1543.7,1543.7,1543.7,SPX01191150C,2019-01-18,C
2018-04-18,2018-04-18,2.6,0.15,1150.0,3.0,1150,1.375,1.375,1.375,SPX01191150P,2019-01-18,P
2018-04-18,2018-04-18,1504.7,1485.0,1200.0,0.0,1200,1494.85,1494.85,1494.85,SPX01191200C,2019-01-18,C
2018-04-18,2018-04-18,2.6,0.4,1200.0,1518.0,1200,1.5,1.5,1.5,SPX01191200P,2019-01-18,P
2018-04-18,2018-04-18,1431.6,1411.9,1275.0,0.0,1275,1421.75,1421.75,1421.75,SPX01191275C,2019-01-18,C
2018-04-18,2018-04-18,3.3,0.85,1275.0,2.0,1275,2.075,2.075,2.075,SPX01191275P,2019-01-18,P
2018-04-18,2018-04-18,1407.3,1387.5,1300.0,0.0,1300,1397.4,1397.4,1397.4,SPX01191300C,2019-01-18,C
2018-04-18,2018-04-18,3.6,2.25,1300.0,1501.0,1300,2.925,2.925,2.925,SPX01191300P,2019-01-18,P
2018-04-18,2018-04-18,1383.0,1363.2,1325.0,0.0,1325,1373.1,1373.1,1373.1,SPX01191325C,2019-01-18,C
2018-04-18,2018-04-18,3.7,1.25,1325.0,33.0,1325,2.475,2.475,2.475,SPX01191325P,2019-01-18,P
2018-04-18,2018-04-18,1334.4,1314.5,1375.0,0.0,1375,1324.45,1324.45,1324.45,SPX01191375C,2019-01-18,C
2018-04-18,2018-04-18,4.2,2.5,1375.0,1.0,1375,3.35,3.35,3.35,SPX01191375P,2019-01-18,P
2018-04-18,2018-04-18,1310.1,1290.4,1400.0,0.0,1400,1300.25,1300.25,1300.25,SPX01191400C,2019-01-18,C
2018-04-18,2018-04-18,4.4,2.35,1400.0,9.0,1400,3.375,3.375,3.375,SPX01191400P,2019-01-18,P
2018-04-18,2018-04-18,1285.9,1266.2,1425.0,0.0,1425,1276.05,1276.05,1276.05,SPX01191425C,2019-01-18,C
2018-04-18,2018-04-18,4.7,2.2,1425.0,0.0,1425,3.45,3.45,3.45,SPX01191425P,2019-01-18,P
2018-04-18,2018-04-18,1261.6,1241.8,1450.0,0.0,1450,1251.7,1251.7,1251.7,SPX01191450C,2019-01-18,C
2018-04-18,2018-04-18,5.0,2.45,1450.0,30.0,1450,3.725,3.725,3.725,SPX01191450P,2019-01-18,P
2018-04-18,2018-04-18,1237.4,1217.7,1475.0,0.0,1475,1227.55,1227.55,1227.55,SPX01191475C,2019-01-18,C
2018-04-18,2018-04-18,5.3,2.8,1475.0,0.0,1475,4.05,4.05,4.05,SPX01191475P,2019-01-18,P
2018-04-18,2018-04-18,1213.2,1193.6,1500.0,0.0,1500,1203.4,1203.4,1203.4,SPX01191500C,2019-01-18,C
2018-04-18,2018-04-18,5.6,3.1,1500.0,1524.0,1500,4.35,4.35,4.35,SPX01191500P,2019-01-18,P
2018-04-18,2018-04-18,1189.1,1169.5,1525.0,0.0,1525,1179.3,1179.3,1179.3,SPX01191525C,2019-01-18,C
2018-04-18,2018-04-18,6.0,3.5,1525.0,2.0,1525,4.75,4.75,4.75,SPX01191525P,2019-01-18,P
2018-04-18,2018-04-18,1164.9,1145.4,1550.0,0.0,1550,1155.15,1155.15,1155.15,SPX01191550C,2019-01-18,C
2018-04-18,2018-04-18,6.4,3.8,1550.0,11.0,1550,5.1,5.1,5.1,SPX01191550P,2019-01-18,P
2018-04-18,2018-04-18,1140.8,1121.4,1575.0,0.0,1575,1131.1,1131.1,1131.1,SPX01191575C,2019-01-18,C
2018-04-18,2018-04-18,6.8,4.3,1575.0,1.0,1575,5.55,5.55,5.55,SPX01191575P,2019-01-18,P
2018-04-18,2018-04-18,1116.7,1097.4,1600.0,0.0,1600,1107.05,1107.05,1107.05,SPX01191600C,2019-01-18,C
