DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-02-06,2018-02-06,1585.0,1563.0,1100.0,0.0,1100,1574.0,1574.0,1574.0,SPX01191100C,2019-01-18,C
2018-02-06,2018-02-06,5.1,0.05,1100.0,20.0,1100,3.0,3.0,3.0,SPX01191100P,2019-01-18,P
2018-02-06,2018-02-06,1536.0,1513.7,1150.0,0.0,1150,1524.85,1524.85,1524.85,SPX01191150C,2019-01-18,C
2018-02-06,2018-02-06,1487.5,1465.4,1200.0,0.0,1200,1476.45,1476.45,1476.45,SPX01191200C,2019-01-18,C
2018-02-06,2018-02-06,1415.5,1393.5,1275.0,0.0,1275,1404.5,1404.5,1404.5,SPX01191275C,2019-01-18,C
2018-02-06,2018-02-06,6.9,0.6,1275.0,2.0,1275,3.75,3.75,3.75,SPX01191275P,2019-01-18,P
2018-02-06,2018-02-06,1391.5,1369.5,1300.0,0.0,1300,1380.5,1380.5,1380.5,SPX01191300C,2019-01-18,C
2018-02-06,2018-02-06,7.3,0.95,1300.0,12.0,1300,4.125,4.125,4.125,SPX01191300P,2019-01-18,P
2018-02-06,2018-02-06,1367.5,1345.5,1325.0,0.0,1325,1356.5,1356.5,1356.5,SPX01191325C,2019-01-18,C
2018-02-06,2018-02-06,7.7,1.35,1325.0,2.0,1325,4.525,4.525,4.525,SPX01191325P,2019-01-18,P
2018-02-06,2018-02-06,1320.5,1298.2,1375.0,0.0,1375,1309.35,1309.35,1309.35,SPX01191375C,2019-01-18,C
2018-02-06,2018-02-06,8.9,2.55,1375.0,0.0,1375,5.725,5.725,5.725,SPX01191375P,2019-01-18,P
2018-02-06,2018-02-06,1296.0,1273.6,1400.0,0.0,1400,1284.8,1284.8,1284.8,SPX01191400C,2019-01-18,C
2018-02-06,2018-02-06,9.4,3.0,1400.0,4.0,1400,6.2,6.2,6.2,SPX01191400P,2019-01-18,P
2018-02-06,2018-02-06,1272.0,1249.8,1425.0,0.0,1425,1260.9,1260.9,1260.9,SPX01191425C,2019-01-18,C
2018-02-06,2018-02-06,10.0,3.6,1425.0,0.0,1425,6.8,6.8,6.8,SPX01191425P,2019-01-18,P
2018-02-06,2018-02-06,1248.5,1226.5,1450.0,0.0,1450,1237.5,1237.5,1237.5,SPX01191450C,2019-01-18,C
2018-02-06,2018-02-06,10.5,4.1,1450.0,20.0,1450,7.3,7.3,7.3,SPX01191450P,2019-01-18,P
2018-02-06,2018-02-06,1224.5,1202.1,1475.0,0.0,1475,1213.3,1213.3,1213.3,SPX01191475C,2019-01-18,C
2018-02-06,2018-02-06,11.1,4.7,1475.0,0.0,1475,7.9,7.9,7.9,SPX01191475P,2019-01-18,P
2018-02-06,2018-02-06,1200.5,1178.4,1500.0,0.0,1500,1189.45,1189.45,1189.45,SPX01191500C,2019-01-18,C
2018-02-06,2018-02-06,11.8,5.4,1500.0,52.0,1500,8.6,8.6,8.6,SPX01191500P,2019-01-18,P
2018-02-06,2018-02-06,1177.5,1155.2,1525.0,0.0,1525,1166.35,1166.35,1166.35,SPX01191525C,2019-01-18,C
2018-02-06,2018-02-06,12.5,6.1,1525.0,2.0,1525,9.3,9.3,9.3,SPX01191525P,2019-01-18,P
2018-02-06,2018-02-06,1154.0,1131.6,1550.0,0.0,1550,1142.8,1142.8,1142.8,SPX01191550C,2019-01-18,C
2018-02-06,2018-02-06,13.4,6.7,1550.0,0.0,1550,10.05,10.05,10.05,SPX01191550P,2019-01-18,P
2018-02-06,2018-02-06,1130.0,1107.9,1575.0,0.0,1575,1118.95,1118.95,1118.95,SPX01191575C,2019-01-18,C
2018-02-06,2018-02-06,14.2,7.3,1575.0,1.0,1575,10.75,10.75,10.75,SPX01191575P,2019-01-18,P
2018-02-06,2018-02-06,1106.5,1084.3,1600.0,0.0,1600,1095.4,1095.4,1095.4,SPX01191600C,2019-01-18,C
2018-02-06,2018-02-06,15.1,8.0,1600.0,356.0,1600,11.55,11.55,11.55,SPX01191600P,2019-01-18,P
2018-02-06,2018-02-06,1082.5,1060.2,1625.0,0.0,1625,1071.35,1071.35,1071.35,SPX01191625C,2019-01-18,C
2018-02-06,2018-02-06,16.1,8.8,1625.0,12.0,1625,12.45,12.45,12.45,SPX01191625P,2019-01-18,P
2018-02-06,2018-02-06,1059.5,1037.3,1650.0,0.0,1650,1048.4,1048.4,1048.4,SPX01191650C,2019-01-18,C
2018-02-06,2018-02-06,17.1,9.6,1650.0,0.0,1650,13.35,13.35,13.35,SPX01191650P,2019-01-18,P
2018-02-06,2018-02-06,1036.0,1013.9,1675.0,0.0,1675,1024.95,1024.95,1024.95,SPX01191675C,2019-01-18,C
2018-02-06,2018-02-06,18.1,10.3,1675.0,0.0,1675,14.2,14.2,14.2,SPX01191675P,2019-01-18,P
2018-02-06,2018-02-06,989.5,967.2,1725.0,0.0,1725,978.35,978.35,978.35,SPX01191725C,2019-01-18,C
2018-02-06,2018-02-06,20.4,12.2,1725.0,3.0,1725,16.3,16.3,16.3,SPX01191725P,2019-01-18,P
2018-02-06,2018-02-06,966.0,943.6,1750.0,0.0,1750,954.8,954.8,954.8,SPX01191750C,2019-01-18,C
2018-02-06,2018-02-06,21.7,13.2,1750.0,2.0,1750,19.0,19.0,19.0,SPX01191750P,2019-01-18,P
2018-02-06,2018-02-06,942.5,920.5,1775.0,0.0,1775,931.5,931.5,931.5,SPX01191775C,2019-01-18,C
2018-02-06,2018-02-06,23.0,14.3,1775.0,10.0,1775,18.65,18.65,18.65,SPX01191775P,2019-01-18,P
2018-02-06,2018-02-06,920.0,897.7,1800.0,0.0,1800,908.85,908.85,908.85,SPX01191800C,2019-01-18,C
2018-02-06,2018-02-06,24.5,15.6,1800.0,1034.0,1800,20.05,20.05,20.05,SPX01191800P,2019-01-18,P
2018-02-06,2018-02-06,896.0,874.0,1825.0,0.0,1825,885.0,885.0,885.0,SPX01191825C,2019-01-18,C
2018-02-06,2018-02-06,25.9,16.7,1825.0,1.0,1825,21.3,21.3,21.3,SPX01191825P,2019-01-18,P
2018-02-06,2018-02-06,874.0,851.7,1850.0,0.0,1850,862.85,862.85,862.85,SPX01191850C,2019-01-18,C
2018-02-06,2018-02-06,27.4,18.0,1850.0,1147.0,1850,37.0,26.5,34.0,SPX01191850P,2019-01-18,P
2018-02-06,2018-02-06,850.5,828.1,1875.0,0.0,1875,839.3,839.3,839.3,SPX01191875C,2019-01-18,C
2018-02-06,2018-02-06,29.1,19.5,1875.0,1.0,1875,24.3,24.3,24.3,SPX01191875P,2019-01-18,P
2018-02-06,2018-02-06,828.0,805.3,1900.0,0.0,1900,816.65,816.65,816.65,SPX01191900C,2019-01-18,C
2018-02-06,2018-02-06,31.3,21.5,1900.0,7101.0,1900,26.4,26.4,26.4,SPX01191900P,2019-01-18,P
2018-02-06,2018-02-06,805.0,782.6,1925.0,9.0,1925,793.8,793.8,793.8,SPX01191925C,2019-01-18,C
2018-02-06,2018-02-06,33.0,23.8,1925.0,12.0,1925,28.4,28.4,28.4,SPX01191925P,2019-01-18,P
2018-02-06,2018-02-06,782.5,760.0,1950.0,9.0,1950,771.25,771.25,771.25,SPX01191950C,2019-01-18,C
2018-02-06,2018-02-06,35.0,25.7,1950.0,237.0,1950,30.35,30.35,30.35,SPX01191950P,2019-01-18,P
2018-02-06,2018-02-06,760.5,737.8,1975.0,11.0,1975,749.15,749.15,749.15,SPX01191975C,2019-01-18,C
2018-02-06,2018-02-06,37.0,27.6,1975.0,6299.0,1975,32.3,32.3,32.3,SPX01191975P,2019-01-18,P
2018-02-06,2018-02-06,738.0,715.4,2000.0,6.0,2000,690.58,686.38,686.38,SPX01192000C,2019-01-18,C
2018-02-06,2018-02-06,39.0,29.9,2000.0,1414.0,2000,36.5,33.0,34.0,SPX01192000P,2019-01-18,P
2018-02-06,2018-02-06,716.3,693.5,2025.0,0.0,2025,704.9,704.9,704.9,SPX01192025C,2019-01-18,C
2018-02-06,2018-02-06,41.5,31.8,2025.0,1023.0,2025,36.65,36.65,36.65,SPX01192025P,2019-01-18,P
2018-02-06,2018-02-06,694.0,671.2,2050.0,0.0,2050,682.6,682.6,682.6,SPX01192050C,2019-01-18,C
2018-02-06,2018-02-06,43.2,34.2,2050.0,1701.0,2050,43.8,43.8,43.8,SPX01192050P,2019-01-18,P
2018-02-06,2018-02-06,671.5,648.8,2075.0,0.0,2075,660.15,660.15,660.15,SPX01192075C,2019-01-18,C
2018-02-06,2018-02-06,46.0,36.4,2075.0,260.0,2075,41.2,41.2,41.2,SPX01192075P,2019-01-18,P
2018-02-06,2018-02-06,650.0,627.2,2100.0,17.0,2100,605.13,601.43,601.43,SPX01192100C,2019-01-18,C
2018-02-06,2018-02-06,48.5,39.2,2100.0,4083.0,2100,77.5,46.83,77.5,SPX01192100P,2019-01-18,P
2018-02-06,2018-02-06,628.5,605.6,2125.0,0.0,2125,617.05,617.05,617.05,SPX01192125C,2019-01-18,C
2018-02-06,2018-02-06,51.5,41.7,2125.0,963.0,2125,46.6,46.6,46.6,SPX01192125P,2019-01-18,P
2018-02-06,2018-02-06,606.5,583.8,2150.0,0.0,2150,595.15,595.15,595.15,SPX01192150C,2019-01-18,C
