DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-01-25,2018-01-25,1729.3,1714.1,1100.0,0.0,1100,1721.7,1721.7,1721.7,SPX01191100C,2019-01-18,C
2018-01-25,2018-01-25,2.0,0.8,1100.0,6.0,1100,1.4,1.4,1.4,SPX01191100P,2019-01-18,P
2018-01-25,2018-01-25,1680.5,1665.4,1150.0,0.0,1150,1672.95,1672.95,1672.95,SPX01191150C,2019-01-18,C
2018-01-25,2018-01-25,1631.8,1616.8,1200.0,0.0,1200,1624.3,1624.3,1624.3,SPX01191200C,2019-01-18,C
2018-01-25,2018-01-25,1558.8,1544.0,1275.0,0.0,1275,1551.4,1551.4,1551.4,SPX01191275C,2019-01-18,C
2018-01-25,2018-01-25,1534.5,1519.7,1300.0,0.0,1300,1527.1,1527.1,1527.1,SPX01191300C,2019-01-18,C
2018-01-25,2018-01-25,3.3,0.3,1300.0,12.0,1300,1.8,1.8,1.8,SPX01191300P,2019-01-18,P
2018-01-25,2018-01-25,1510.2,1495.5,1325.0,0.0,1325,1502.85,1502.85,1502.85,SPX01191325C,2019-01-18,C
2018-01-25,2018-01-25,3.4,0.3,1325.0,2.0,1325,1.85,1.85,1.85,SPX01191325P,2019-01-18,P
2018-01-25,2018-01-25,1461.7,1447.0,1375.0,0.0,1375,1454.35,1454.35,1454.35,SPX01191375C,2019-01-18,C
2018-01-25,2018-01-25,3.8,0.65,1375.0,0.0,1375,2.225,2.225,2.225,SPX01191375P,2019-01-18,P
2018-01-25,2018-01-25,1437.4,1422.8,1400.0,0.0,1400,1430.1,1430.1,1430.1,SPX01191400C,2019-01-18,C
2018-01-25,2018-01-25,4.0,0.9,1400.0,4.0,1400,2.45,2.45,2.45,SPX01191400P,2019-01-18,P
2018-01-25,2018-01-25,1413.2,1398.6,1425.0,0.0,1425,1405.9,1405.9,1405.9,SPX01191425C,2019-01-18,C
