DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-01-10,2018-01-10,1653.4,1646.5,1100.0,3262.0,1100,1649.95,1649.95,1649.95,SPX01181100C,2018-01-19,C
2018-01-10,2018-01-10,1628.4,1621.5,1125.0,45.0,1125,1624.95,1624.95,1624.95,SPX01181125C,2018-01-19,C
2018-01-10,2018-01-10,1603.4,1596.5,1150.0,1.0,1150,1599.95,1599.95,1599.95,SPX01181150C,2018-01-19,C
2018-01-10,2018-01-10,1578.4,1571.5,1175.0,32.0,1175,1574.95,1574.95,1574.95,SPX01181175C,2018-01-19,C
2018-01-10,2018-01-10,1553.5,1546.6,1200.0,98.0,1200,1550.05,1550.05,1550.05,SPX01181200C,2018-01-19,C
2018-01-10,2018-01-10,1528.5,1521.6,1225.0,12.0,1225,1525.05,1525.05,1525.05,SPX01181225C,2018-01-19,C
2018-01-10,2018-01-10,1478.5,1471.6,1275.0,75.0,1275,1475.05,1475.05,1475.05,SPX01181275C,2018-01-19,C
2018-01-10,2018-01-10,1453.5,1446.6,1300.0,218.0,1300,1450.05,1450.05,1450.05,SPX01181300C,2018-01-19,C
2018-01-10,2018-01-10,1428.5,1421.6,1325.0,19.0,1325,1425.05,1425.05,1425.05,SPX01181325C,2018-01-19,C
2018-01-10,2018-01-10,1378.5,1371.6,1375.0,140.0,1375,1375.05,1375.05,1375.05,SPX01181375C,2018-01-19,C
2018-01-10,2018-01-10,1353.5,1346.7,1400.0,170.0,1400,1350.1,1350.1,1350.1,SPX01181400C,2018-01-19,C
2018-01-10,2018-01-10,1303.6,1296.7,1450.0,1.0,1450,1300.15,1300.15,1300.15,SPX01181450C,2018-01-19,C
2018-01-10,2018-01-10,1278.6,1271.7,1475.0,18.0,1475,1275.15,1275.15,1275.15,SPX01181475C,2018-01-19,C
2018-01-10,2018-01-10,1253.6,1246.7,1500.0,820.0,1500,1250.15,1250.15,1250.15,SPX01181500C,2018-01-19,C
2018-01-10,2018-01-10,1228.6,1221.7,1525.0,38.0,1525,1225.15,1225.15,1225.15,SPX01181525C,2018-01-19,C
2018-01-10,2018-01-10,1203.6,1196.7,1550.0,42.0,1550,1200.15,1200.15,1200.15,SPX01181550C,2018-01-19,C
2018-01-10,2018-01-10,1178.6,1171.7,1575.0,3.0,1575,1175.15,1175.15,1175.15,SPX01181575C,2018-01-19,C
2018-01-10,2018-01-10,1153.6,1146.8,1600.0,3.0,1600,1150.2,1150.2,1150.2,SPX01181600C,2018-01-19,C
2018-01-10,2018-01-10,1128.7,1121.8,1625.0,0.0,1625,1125.25,1125.25,1125.25,SPX01181625C,2018-01-19,C
2018-01-10,2018-01-10,1103.7,1096.8,1650.0,0.0,1650,1100.25,1100.25,1100.25,SPX01181650C,2018-01-19,C
2018-01-10,2018-01-10,1078.7,1071.8,1675.0,2.0,1675,1075.25,1075.25,1075.25,SPX01181675C,2018-01-19,C
2018-01-10,2018-01-10,1053.7,1046.8,1700.0,297.0,1700,1050.25,1050.25,1050.25,SPX01181700C,2018-01-19,C
2018-01-10,2018-01-10,1028.7,1021.8,1725.0,0.0,1725,1025.25,1025.25,1025.25,SPX01181725C,2018-01-19,C
2018-01-10,2018-01-10,1003.7,996.8,1750.0,3.0,1750,1000.25,1000.25,1000.25,SPX01181750C,2018-01-19,C
2018-01-10,2018-01-10,978.7,971.8,1775.0,1.0,1775,975.25,975.25,975.25,SPX01181775C,2018-01-19,C
2018-01-10,2018-01-10,953.7,946.9,1800.0,14.0,1800,950.3,950.3,950.3,SPX01181800C,2018-01-19,C
2018-01-10,2018-01-10,928.7,921.9,1825.0,1.0,1825,925.3,925.3,925.3,SPX01181825C,2018-01-19,C
2018-01-10,2018-01-10,903.7,896.9,1850.0,29.0,1850,900.3,900.3,900.3,SPX01181850C,2018-01-19,C
2018-01-10,2018-01-10,878.8,871.9,1875.0,4.0,1875,875.35,875.35,875.35,SPX01181875C,2018-01-19,C
2018-01-10,2018-01-10,853.8,846.9,1900.0,305.0,1900,840.0,840.0,840.0,SPX01181900C,2018-01-19,C
2018-01-10,2018-01-10,828.8,821.9,1925.0,17.0,1925,825.35,825.35,825.35,SPX01181925C,2018-01-19,C
2018-01-10,2018-01-10,803.8,796.9,1950.0,9.0,1950,800.35,800.35,800.35,SPX01181950C,2018-01-19,C
2018-01-10,2018-01-10,778.8,771.9,1975.0,63.0,1975,775.35,775.35,775.35,SPX01181975C,2018-01-19,C
2018-01-10,2018-01-10,753.8,746.9,2000.0,63132.0,2000,750.35,750.35,750.35,SPX01182000C,2018-01-19,C
2018-01-10,2018-01-10,728.8,721.9,2025.0,52.0,2025,725.35,725.35,725.35,SPX01182025C,2018-01-19,C
2018-01-10,2018-01-10,703.8,696.9,2050.0,109.0,2050,696.87,696.87,696.87,SPX01182050C,2018-01-19,C
2018-01-10,2018-01-10,678.8,671.9,2075.0,91.0,2075,675.35,675.35,675.35,SPX01182075C,2018-01-19,C
2018-01-10,2018-01-10,653.8,647.0,2100.0,332.0,2100,650.4,650.4,650.4,SPX01182100C,2018-01-19,C
2018-01-10,2018-01-10,628.8,622.0,2125.0,63.0,2125,625.4,625.4,625.4,SPX01182125C,2018-01-19,C
2018-01-10,2018-01-10,603.9,597.0,2150.0,1211.0,2150,600.45,600.45,600.45,SPX01182150C,2018-01-19,C
2018-01-10,2018-01-10,578.9,572.0,2175.0,71.0,2175,575.45,575.45,575.45,SPX01182175C,2018-01-19,C
2018-01-10,2018-01-10,553.9,547.0,2200.0,880.0,2200,550.45,550.45,550.45,SPX01182200C,2018-01-19,C
2018-01-10,2018-01-10,528.9,522.0,2225.0,334.0,2225,525.45,525.45,525.45,SPX01182225C,2018-01-19,C
2018-01-10,2018-01-10,503.9,497.0,2250.0,4204.0,2250,500.45,500.45,500.45,SPX01182250C,2018-01-19,C
2018-01-10,2018-01-10,479.0,472.1,2275.0,3645.0,2275,475.55,475.55,475.55,SPX01182275C,2018-01-19,C
2018-01-10,2018-01-10,454.0,447.1,2300.0,6742.0,2300,445.3,445.3,445.3,SPX01182300C,2018-01-19,C
2018-01-10,2018-01-10,429.0,422.1,2325.0,3619.0,2325,425.55,425.55,425.55,SPX01182325C,2018-01-19,C
2018-01-10,2018-01-10,0.1,0.05,2325.0,21313.0,2325,0.075,0.075,0.075,SPX01182325P,2018-01-19,P
2018-01-10,2018-01-10,404.0,397.2,2350.0,5587.0,2350,395.4,395.4,395.4,SPX01182350C,2018-01-19,C
2018-01-10,2018-01-10,0.1,0.05,2350.0,36229.0,2350,0.09,0.05,0.05,SPX01182350P,2018-01-19,P
2018-01-10,2018-01-10,379.1,372.2,2375.0,3323.0,2375,375.65,375.65,375.65,SPX01182375C,2018-01-19,C
2018-01-10,2018-01-10,0.1,0.05,2375.0,46542.0,2375,0.09,0.05,0.09,SPX01182375P,2018-01-19,P
2018-01-10,2018-01-10,354.1,347.2,2400.0,9537.0,2400,349.8,349.3,349.8,SPX01182400C,2018-01-19,C
2018-01-10,2018-01-10,0.1,0.05,2400.0,64718.0,2400,0.1,0.07,0.1,SPX01182400P,2018-01-19,P
2018-01-10,2018-01-10,329.1,322.2,2425.0,5362.0,2425,325.65,325.65,325.65,SPX01182425C,2018-01-19,C
2018-01-10,2018-01-10,0.1,0.05,2425.0,30871.0,2425,0.15,0.1,0.15,SPX01182425P,2018-01-19,P
2018-01-10,2018-01-10,304.2,297.3,2450.0,15808.0,2450,300.75,300.75,300.75,SPX01182450C,2018-01-19,C
2018-01-10,2018-01-10,0.1,0.05,2450.0,70708.0,2450,0.2,0.1,0.2,SPX01182450P,2018-01-19,P
2018-01-10,2018-01-10,279.2,272.3,2475.0,7167.0,2475,275.75,275.75,275.75,SPX01182475C,2018-01-19,C
2018-01-10,2018-01-10,0.15,0.05,2475.0,23674.0,2475,0.1,0.1,0.1,SPX01182475P,2018-01-19,P
2018-01-10,2018-01-10,254.2,247.3,2500.0,19747.0,2500,249.3,242.0,242.0,SPX01182500C,2018-01-19,C
2018-01-10,2018-01-10,0.2,0.05,2500.0,72324.0,2500,0.35,0.15,0.2,SPX01182500P,2018-01-19,P
2018-01-10,2018-01-10,179.4,172.5,2575.0,31679.0,2575,175.95,175.95,175.95,SPX01182575C,2018-01-19,C
2018-01-10,2018-01-10,0.35,0.25,2575.0,38097.0,2575,0.5,0.3,0.33,SPX01182575P,2018-01-19,P
2018-01-10,2018-01-10,154.4,147.5,2600.0,43255.0,2600,147.81,144.5,144.5,SPX01182600C,2018-01-19,C
2018-01-10,2018-01-10,0.4,0.25,2600.0,59170.0,2600,0.5,0.35,0.48,SPX01182600P,2018-01-19,P
2018-01-10,2018-01-10,129.5,122.7,2625.0,31205.0,2625,125.15,117.1,117.1,SPX01182625C,2018-01-19,C
2018-01-10,2018-01-10,0.5,0.35,2625.0,48410.0,2625,0.7,0.45,0.7,SPX01182625P,2018-01-19,P
2018-01-10,2018-01-10,103.8,97.8,2650.0,36808.0,2650,99.6,88.8,93.5,SPX01182650C,2018-01-19,C
2018-01-10,2018-01-10,0.65,0.45,2650.0,46655.0,2650,0.95,0.5,0.85,SPX01182650P,2018-01-19,P
2018-01-10,2018-01-10,79.1,73.1,2675.0,39999.0,2675,75.65,65.0,71.0,SPX01182675C,2018-01-19,C
2018-01-10,2018-01-10,0.9,0.65,2675.0,37807.0,2675,1.75,0.95,1.3,SPX01182675P,2018-01-19,P
2018-01-10,2018-01-10,54.9,49.1,2700.0,56178.0,2700,53.05,41.75,41.75,SPX01182700C,2018-01-19,C
2018-01-10,2018-01-10,1.5,1.35,2700.0,37067.0,2700,3.5,1.5,2.4,SPX01182700P,2018-01-19,P
2018-01-10,2018-01-10,29.8,27.1,2725.0,31943.0,2725,30.6,21.35,25.85,SPX01182725C,2018-01-19,C
2018-01-10,2018-01-10,4.2,3.6,2725.0,24631.0,2725,7.95,3.98,5.95,SPX01182725P,2018-01-19,P
2018-01-10,2018-01-10,12.0,11.2,2750.0,29216.0,2750,12.2,7.8,10.15,SPX01182750C,2018-01-19,C
2018-01-10,2018-01-10,11.4,10.5,2750.0,12746.0,2750,18.5,11.2,15.8,SPX01182750P,2018-01-19,P
2018-01-10,2018-01-10,3.0,2.75,2775.0,32905.0,2775,3.2,2.19,3.1,SPX01182775C,2018-01-19,C
2018-01-10,2018-01-10,29.8,24.4,2775.0,31.0,2775,36.63,28.02,36.63,SPX01182775P,2018-01-19,P
2018-01-10,2018-01-10,0.65,0.35,2800.0,16254.0,2800,0.85,0.36,0.8,SPX01182800C,2018-01-19,C
