DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-03-13,2018-03-13,1657.9,1646.6,1100.0,0.0,1100,1652.25,1652.25,1652.25,SPX01191100C,2019-01-18,C
2018-03-13,2018-03-13,2.2,0.05,1100.0,20.0,1100,1.125,1.125,1.125,SPX01191100P,2019-01-18,P
2018-03-13,2018-03-13,1609.3,1597.9,1150.0,0.0,1150,1603.6,1603.6,1603.6,SPX01191150C,2019-01-18,C
2018-03-13,2018-03-13,2.55,0.2,1150.0,3.0,1150,1.375,1.375,1.375,SPX01191150P,2019-01-18,P
2018-03-13,2018-03-13,1560.8,1549.4,1200.0,0.0,1200,1555.1,1555.1,1555.1,SPX01191200C,2019-01-18,C
2018-03-13,2018-03-13,2.9,0.6,1200.0,7.0,1200,1.75,1.75,1.75,SPX01191200P,2019-01-18,P
2018-03-13,2018-03-13,1488.1,1476.5,1275.0,0.0,1275,1482.3,1482.3,1482.3,SPX01191275C,2019-01-18,C
2018-03-13,2018-03-13,3.6,1.25,1275.0,2.0,1275,2.425,2.425,2.425,SPX01191275P,2019-01-18,P
2018-03-13,2018-03-13,1463.9,1452.2,1300.0,0.0,1300,1458.05,1458.05,1458.05,SPX01191300C,2019-01-18,C
2018-03-13,2018-03-13,3.9,1.55,1300.0,1501.0,1300,2.725,2.725,2.725,SPX01191300P,2019-01-18,P
2018-03-13,2018-03-13,1439.7,1428.0,1325.0,0.0,1325,1433.85,1433.85,1433.85,SPX01191325C,2019-01-18,C
2018-03-13,2018-03-13,4.1,1.8,1325.0,2.0,1325,2.95,2.95,2.95,SPX01191325P,2019-01-18,P
2018-03-13,2018-03-13,1391.4,1379.6,1375.0,0.0,1375,1385.5,1385.5,1385.5,SPX01191375C,2019-01-18,C
2018-03-13,2018-03-13,4.7,2.5,1375.0,1.0,1375,3.6,3.6,3.6,SPX01191375P,2019-01-18,P
2018-03-13,2018-03-13,1367.3,1355.5,1400.0,0.0,1400,1361.4,1361.4,1361.4,SPX01191400C,2019-01-18,C
2018-03-13,2018-03-13,5.1,2.7,1400.0,9.0,1400,3.9,3.9,3.9,SPX01191400P,2019-01-18,P
2018-03-13,2018-03-13,1343.2,1331.4,1425.0,0.0,1425,1337.3,1337.3,1337.3,SPX01191425C,2019-01-18,C
2018-03-13,2018-03-13,5.4,3.1,1425.0,0.0,1425,4.25,4.25,4.25,SPX01191425P,2019-01-18,P
2018-03-13,2018-03-13,1319.2,1307.3,1450.0,0.0,1450,1313.25,1313.25,1313.25,SPX01191450C,2019-01-18,C
2018-03-13,2018-03-13,5.8,3.5,1450.0,30.0,1450,4.65,4.65,4.65,SPX01191450P,2019-01-18,P
2018-03-13,2018-03-13,1295.1,1283.2,1475.0,0.0,1475,1289.15,1289.15,1289.15,SPX01191475C,2019-01-18,C
2018-03-13,2018-03-13,6.2,3.9,1475.0,0.0,1475,5.05,5.05,5.05,SPX01191475P,2019-01-18,P
2018-03-13,2018-03-13,1271.1,1259.2,1500.0,0.0,1500,1265.15,1265.15,1265.15,SPX01191500C,2019-01-18,C
2018-03-13,2018-03-13,6.7,4.3,1500.0,53.0,1500,5.5,5.5,5.5,SPX01191500P,2019-01-18,P
