DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-02-09,2018-02-09,1512.3,1495.1,1100.0,0.0,1100,1503.7,1503.7,1503.7,SPX01191100C,2019-01-18,C
2018-02-09,2018-02-09,4.0,0.95,1100.0,20.0,1100,3.7,3.7,3.7,SPX01191100P,2019-01-18,P
2018-02-09,2018-02-09,1464.0,1446.5,1150.0,0.0,1150,1455.25,1455.25,1455.25,SPX01191150C,2019-01-18,C
2018-02-09,2018-02-09,4.6,1.55,1150.0,3.0,1150,3.075,3.075,3.075,SPX01191150P,2019-01-18,P
2018-02-09,2018-02-09,1415.8,1398.8,1200.0,0.0,1200,1407.3,1407.3,1407.3,SPX01191200C,2019-01-18,C
2018-02-09,2018-02-09,5.3,2.25,1200.0,6.0,1200,7.2,7.2,7.2,SPX01191200P,2019-01-18,P
2018-02-09,2018-02-09,1343.7,1326.9,1275.0,0.0,1275,1335.3,1335.3,1335.3,SPX01191275C,2019-01-18,C
2018-02-09,2018-02-09,6.5,3.5,1275.0,2.0,1275,5.0,5.0,5.0,SPX01191275P,2019-01-18,P
2018-02-09,2018-02-09,1319.7,1302.7,1300.0,0.0,1300,1311.2,1311.2,1311.2,SPX01191300C,2019-01-18,C
2018-02-09,2018-02-09,7.0,4.0,1300.0,12.0,1300,5.5,5.5,5.5,SPX01191300P,2019-01-18,P
2018-02-09,2018-02-09,1295.8,1278.5,1325.0,0.0,1325,1287.15,1287.15,1287.15,SPX01191325C,2019-01-18,C
2018-02-09,2018-02-09,7.6,4.5,1325.0,2.0,1325,6.05,6.05,6.05,SPX01191325P,2019-01-18,P
2018-02-09,2018-02-09,1248.0,1232.2,1375.0,0.0,1375,1240.1,1240.1,1240.1,SPX01191375C,2019-01-18,C
2018-02-09,2018-02-09,8.8,5.6,1375.0,0.0,1375,7.2,7.2,7.2,SPX01191375P,2019-01-18,P
2018-02-09,2018-02-09,1224.2,1207.6,1400.0,0.0,1400,1215.9,1215.9,1215.9,SPX01191400C,2019-01-18,C
2018-02-09,2018-02-09,9.5,6.2,1400.0,4.0,1400,7.85,7.85,7.85,SPX01191400P,2019-01-18,P
2018-02-09,2018-02-09,1200.4,1183.9,1425.0,0.0,1425,1192.15,1192.15,1192.15,SPX01191425C,2019-01-18,C
2018-02-09,2018-02-09,10.3,6.9,1425.0,0.0,1425,8.6,8.6,8.6,SPX01191425P,2019-01-18,P
2018-02-09,2018-02-09,1176.7,1159.9,1450.0,0.0,1450,1168.3,1168.3,1168.3,SPX01191450C,2019-01-18,C
2018-02-09,2018-02-09,11.1,7.6,1450.0,20.0,1450,9.35,9.35,9.35,SPX01191450P,2019-01-18,P
2018-02-09,2018-02-09,1153.0,1136.5,1475.0,0.0,1475,1144.75,1144.75,1144.75,SPX01191475C,2019-01-18,C
2018-02-09,2018-02-09,11.9,8.3,1475.0,0.0,1475,10.1,10.1,10.1,SPX01191475P,2019-01-18,P
2018-02-09,2018-02-09,1129.4,1112.9,1500.0,0.0,1500,1121.15,1121.15,1121.15,SPX01191500C,2019-01-18,C
2018-02-09,2018-02-09,12.8,9.1,1500.0,52.0,1500,15.0,15.0,15.0,SPX01191500P,2019-01-18,P
2018-02-09,2018-02-09,1105.9,1089.1,1525.0,0.0,1525,1097.5,1097.5,1097.5,SPX01191525C,2019-01-18,C
2018-02-09,2018-02-09,13.8,9.9,1525.0,2.0,1525,11.85,11.85,11.85,SPX01191525P,2019-01-18,P
2018-02-09,2018-02-09,1082.3,1066.5,1550.0,0.0,1550,1074.4,1074.4,1074.4,SPX01191550C,2019-01-18,C
2018-02-09,2018-02-09,14.8,10.8,1550.0,0.0,1550,12.8,12.8,12.8,SPX01191550P,2019-01-18,P
2018-02-09,2018-02-09,1058.9,1042.3,1575.0,0.0,1575,1050.6,1050.6,1050.6,SPX01191575C,2019-01-18,C
2018-02-09,2018-02-09,15.9,11.8,1575.0,1.0,1575,13.85,13.85,13.85,SPX01191575P,2019-01-18,P
2018-02-09,2018-02-09,1035.5,1020.4,1600.0,0.0,1600,1027.95,1027.95,1027.95,SPX01191600C,2019-01-18,C
2018-02-09,2018-02-09,17.0,12.8,1600.0,356.0,1600,14.9,14.9,14.9,SPX01191600P,2019-01-18,P
2018-02-09,2018-02-09,1012.2,996.9,1625.0,0.0,1625,1004.55,1004.55,1004.55,SPX01191625C,2019-01-18,C
2018-02-09,2018-02-09,18.3,13.9,1625.0,12.0,1625,16.1,16.1,16.1,SPX01191625P,2019-01-18,P
2018-02-09,2018-02-09,988.9,974.8,1650.0,0.0,1650,981.85,981.85,981.85,SPX01191650C,2019-01-18,C
2018-02-09,2018-02-09,19.5,15.0,1650.0,0.0,1650,17.25,17.25,17.25,SPX01191650P,2019-01-18,P
2018-02-09,2018-02-09,965.7,951.6,1675.0,0.0,1675,958.65,958.65,958.65,SPX01191675C,2019-01-18,C
2018-02-09,2018-02-09,20.9,16.3,1675.0,0.0,1675,18.6,18.6,18.6,SPX01191675P,2019-01-18,P
2018-02-09,2018-02-09,919.5,905.4,1725.0,0.0,1725,912.45,912.45,912.45,SPX01191725C,2019-01-18,C
2018-02-09,2018-02-09,23.9,18.9,1725.0,3.0,1725,21.4,21.4,21.4,SPX01191725P,2019-01-18,P
2018-02-09,2018-02-09,896.6,881.5,1750.0,0.0,1750,889.05,889.05,889.05,SPX01191750C,2019-01-18,C
2018-02-09,2018-02-09,25.5,20.4,1750.0,2.0,1750,22.95,22.95,22.95,SPX01191750P,2019-01-18,P
2018-02-09,2018-02-09,873.7,859.6,1775.0,0.0,1775,866.65,866.65,866.65,SPX01191775C,2019-01-18,C
2018-02-09,2018-02-09,27.1,21.9,1775.0,10.0,1775,24.5,24.5,24.5,SPX01191775P,2019-01-18,P
2018-02-09,2018-02-09,851.0,838.2,1800.0,0.0,1800,844.6,844.6,844.6,SPX01191800C,2019-01-18,C
2018-02-09,2018-02-09,29.0,23.7,1800.0,2034.0,1800,40.0,40.0,40.0,SPX01191800P,2019-01-18,P
2018-02-09,2018-02-09,828.3,814.6,1825.0,0.0,1825,821.45,821.45,821.45,SPX01191825C,2019-01-18,C
2018-02-09,2018-02-09,30.8,25.3,1825.0,1.0,1825,28.05,28.05,28.05,SPX01191825P,2019-01-18,P
2018-02-09,2018-02-09,805.7,792.0,1850.0,0.0,1850,798.85,798.85,798.85,SPX01191850C,2019-01-18,C
2018-02-09,2018-02-09,32.8,27.2,1850.0,1147.0,1850,30.0,30.0,30.0,SPX01191850P,2019-01-18,P
2018-02-09,2018-02-09,783.2,769.7,1875.0,0.0,1875,776.45,776.45,776.45,SPX01191875C,2019-01-18,C
2018-02-09,2018-02-09,34.9,29.1,1875.0,1.0,1875,32.0,32.0,32.0,SPX01191875P,2019-01-18,P
2018-02-09,2018-02-09,760.8,748.0,1900.0,0.0,1900,754.4,754.4,754.4,SPX01191900C,2019-01-18,C
2018-02-09,2018-02-09,37.2,31.3,1900.0,7101.0,1900,34.7,34.7,34.7,SPX01191900P,2019-01-18,P
