DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-01-22,2018-01-22,1723.5,1708.3,1100.0,0.0,1100,1715.9,1715.9,1715.9,SPX01191100C,2019-01-18,C
2018-01-22,2018-01-22,2.4,0.8,1100.0,6.0,1100,1.6,1.6,1.6,SPX01191100P,2019-01-18,P
2018-01-22,2018-01-22,1674.8,1659.7,1150.0,0.0,1150,1667.25,1667.25,1667.25,SPX01191150C,2019-01-18,C
2018-01-22,2018-01-22,1626.1,1611.0,1200.0,0.0,1200,1618.55,1618.55,1618.55,SPX01191200C,2019-01-18,C
2018-01-22,2018-01-22,1553.1,1538.2,1275.0,0.0,1275,1545.65,1545.65,1545.65,SPX01191275C,2019-01-18,C
2018-01-22,2018-01-22,3.2,0.1,1275.0,2.0,1275,1.65,1.65,1.65,SPX01191275P,2019-01-18,P
2018-01-22,2018-01-22,1528.7,1513.9,1300.0,0.0,1300,1521.3,1521.3,1521.3,SPX01191300C,2019-01-18,C
2018-01-22,2018-01-22,3.4,0.3,1300.0,12.0,1300,1.85,1.85,1.85,SPX01191300P,2019-01-18,P
2018-01-22,2018-01-22,1504.4,1489.7,1325.0,0.0,1325,1497.05,1497.05,1497.05,SPX01191325C,2019-01-18,C
2018-01-22,2018-01-22,3.5,0.4,1325.0,2.0,1325,1.95,1.95,1.95,SPX01191325P,2019-01-18,P
2018-01-22,2018-01-22,1455.9,1441.2,1375.0,0.0,1375,1448.55,1448.55,1448.55,SPX01191375C,2019-01-18,C
2018-01-22,2018-01-22,3.9,0.8,1375.0,0.0,1375,2.35,2.35,2.35,SPX01191375P,2019-01-18,P
2018-01-22,2018-01-22,1431.6,1417.0,1400.0,0.0,1400,1424.3,1424.3,1424.3,SPX01191400C,2019-01-18,C
2018-01-22,2018-01-22,4.1,1.0,1400.0,4.0,1400,2.8,2.8,2.8,SPX01191400P,2019-01-18,P
2018-01-22,2018-01-22,1407.4,1392.8,1425.0,0.0,1425,1400.1,1400.1,1400.1,SPX01191425C,2019-01-18,C
2018-01-22,2018-01-22,4.4,1.2,1425.0,0.0,1425,2.8,2.8,2.8,SPX01191425P,2019-01-18,P
2018-01-22,2018-01-22,1383.2,1368.7,1450.0,0.0,1450,1375.95,1375.95,1375.95,SPX01191450C,2019-01-18,C
2018-01-22,2018-01-22,4.6,1.45,1450.0,10.0,1450,3.025,3.025,3.025,SPX01191450P,2019-01-18,P
2018-01-22,2018-01-22,1359.0,1344.5,1475.0,0.0,1475,1351.75,1351.75,1351.75,SPX01191475C,2019-01-18,C
2018-01-22,2018-01-22,4.9,1.7,1475.0,0.0,1475,3.3,3.3,3.3,SPX01191475P,2019-01-18,P
2018-01-22,2018-01-22,1334.8,1320.4,1500.0,0.0,1500,1327.6,1327.6,1327.6,SPX01191500C,2019-01-18,C
2018-01-22,2018-01-22,5.1,2.0,1500.0,43.0,1500,3.55,3.55,3.55,SPX01191500P,2019-01-18,P
2018-01-22,2018-01-22,1310.6,1296.3,1525.0,0.0,1525,1303.45,1303.45,1303.45,SPX01191525C,2019-01-18,C
2018-01-22,2018-01-22,5.4,2.3,1525.0,2.0,1525,3.85,3.85,3.85,SPX01191525P,2019-01-18,P
2018-01-22,2018-01-22,1286.5,1272.2,1550.0,0.0,1550,1279.35,1279.35,1279.35,SPX01191550C,2019-01-18,C
