DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-01-23,2018-01-23,1728.6,1713.3,1100.0,0.0,1100,1720.95,1720.95,1720.95,SPX01191100C,2019-01-18,C
2018-01-23,2018-01-23,2.4,0.8,1100.0,6.0,1100,1.6,1.6,1.6,SPX01191100P,2019-01-18,P
2018-01-23,2018-01-23,1679.8,1664.7,1150.0,0.0,1150,1672.25,1672.25,1672.25,SPX01191150C,2019-01-18,C
2018-01-23,2018-01-23,1631.1,1616.1,1200.0,0.0,1200,1623.6,1623.6,1623.6,SPX01191200C,2019-01-18,C
2018-01-23,2018-01-23,1558.1,1543.2,1275.0,0.0,1275,1550.65,1550.65,1550.65,SPX01191275C,2019-01-18,C
2018-01-23,2018-01-23,3.2,0.05,1275.0,2.0,1275,1.625,1.625,1.625,SPX01191275P,2019-01-18,P
2018-01-23,2018-01-23,1533.8,1518.9,1300.0,0.0,1300,1526.35,1526.35,1526.35,SPX01191300C,2019-01-18,C
2018-01-23,2018-01-23,3.4,0.3,1300.0,12.0,1300,1.85,1.85,1.85,SPX01191300P,2019-01-18,P
2018-01-23,2018-01-23,1509.5,1494.7,1325.0,0.0,1325,1502.1,1502.1,1502.1,SPX01191325C,2019-01-18,C
2018-01-23,2018-01-23,3.5,0.35,1325.0,2.0,1325,1.925,1.925,1.925,SPX01191325P,2019-01-18,P
2018-01-23,2018-01-23,1460.9,1446.2,1375.0,0.0,1375,1453.55,1453.55,1453.55,SPX01191375C,2019-01-18,C
2018-01-23,2018-01-23,3.9,0.75,1375.0,0.0,1375,2.325,2.325,2.325,SPX01191375P,2019-01-18,P
2018-01-23,2018-01-23,1436.6,1422.0,1400.0,0.0,1400,1429.3,1429.3,1429.3,SPX01191400C,2019-01-18,C
2018-01-23,2018-01-23,4.1,0.95,1400.0,4.0,1400,2.525,2.525,2.525,SPX01191400P,2019-01-18,P
2018-01-23,2018-01-23,1412.4,1397.8,1425.0,0.0,1425,1405.1,1405.1,1405.1,SPX01191425C,2019-01-18,C
2018-01-23,2018-01-23,4.3,1.2,1425.0,0.0,1425,2.75,2.75,2.75,SPX01191425P,2019-01-18,P
2018-01-23,2018-01-23,1388.2,1373.7,1450.0,0.0,1450,1380.95,1380.95,1380.95,SPX01191450C,2019-01-18,C
2018-01-23,2018-01-23,4.6,1.4,1450.0,10.0,1450,3.0,3.0,3.0,SPX01191450P,2019-01-18,P
2018-01-23,2018-01-23,1364.0,1349.5,1475.0,0.0,1475,1356.75,1356.75,1356.75,SPX01191475C,2019-01-18,C
2018-01-23,2018-01-23,4.8,1.7,1475.0,0.0,1475,3.25,3.25,3.25,SPX01191475P,2019-01-18,P
2018-01-23,2018-01-23,1339.8,1325.4,1500.0,0.0,1500,1332.6,1332.6,1332.6,SPX01191500C,2019-01-18,C
2018-01-23,2018-01-23,5.1,1.95,1500.0,43.0,1500,3.525,3.525,3.525,SPX01191500P,2019-01-18,P
2018-01-23,2018-01-23,1315.6,1301.3,1525.0,0.0,1525,1308.45,1308.45,1308.45,SPX01191525C,2019-01-18,C
2018-01-23,2018-01-23,5.4,2.25,1525.0,2.0,1525,3.825,3.825,3.825,SPX01191525P,2019-01-18,P
2018-01-23,2018-01-23,1291.5,1277.2,1550.0,0.0,1550,1284.35,1284.35,1284.35,SPX01191550C,2019-01-18,C
2018-01-23,2018-01-23,5.7,2.6,1550.0,0.0,1550,4.15,4.15,4.15,SPX01191550P,2019-01-18,P
2018-01-23,2018-01-23,1267.4,1253.1,1575.0,0.0,1575,1260.25,1260.25,1260.25,SPX01191575C,2019-01-18,C
2018-01-23,2018-01-23,5.7,2.95,1575.0,0.0,1575,4.325,4.325,4.325,SPX01191575P,2019-01-18,P
2018-01-23,2018-01-23,1243.3,1229.1,1600.0,0.0,1600,1236.2,1236.2,1236.2,SPX01191600C,2019-01-18,C
2018-01-23,2018-01-23,6.5,3.3,1600.0,356.0,1600,4.9,4.9,4.9,SPX01191600P,2019-01-18,P
2018-01-23,2018-01-23,1219.2,1205.1,1625.0,0.0,1625,1212.15,1212.15,1212.15,SPX01191625C,2019-01-18,C
2018-01-23,2018-01-23,6.9,3.7,1625.0,12.0,1625,5.3,5.3,5.3,SPX01191625P,2019-01-18,P
2018-01-23,2018-01-23,1195.2,1181.1,1650.0,0.0,1650,1188.15,1188.15,1188.15,SPX01191650C,2019-01-18,C
2018-01-23,2018-01-23,7.3,4.1,1650.0,0.0,1650,5.7,5.7,5.7,SPX01191650P,2019-01-18,P
2018-01-23,2018-01-23,1171.2,1157.1,1675.0,0.0,1675,1164.15,1164.15,1164.15,SPX01191675C,2019-01-18,C
2018-01-23,2018-01-23,7.8,4.6,1675.0,0.0,1675,6.2,6.2,6.2,SPX01191675P,2019-01-18,P
2018-01-23,2018-01-23,1123.3,1109.3,1725.0,0.0,1725,1116.3,1116.3,1116.3,SPX01191725C,2019-01-18,C
2018-01-23,2018-01-23,8.8,5.6,1725.0,2.0,1725,7.2,7.2,7.2,SPX01191725P,2019-01-18,P
2018-01-23,2018-01-23,1099.4,1085.5,1750.0,0.0,1750,1092.45,1092.45,1092.45,SPX01191750C,2019-01-18,C
2018-01-23,2018-01-23,9.4,6.2,1750.0,2.0,1750,7.8,7.8,7.8,SPX01191750P,2019-01-18,P
2018-01-23,2018-01-23,1075.5,1061.7,1775.0,0.0,1775,1068.6,1068.6,1068.6,SPX01191775C,2019-01-18,C
2018-01-23,2018-01-23,10.0,6.8,1775.0,10.0,1775,8.4,8.4,8.4,SPX01191775P,2019-01-18,P
2018-01-23,2018-01-23,1051.7,1037.9,1800.0,0.0,1800,1044.8,1044.8,1044.8,SPX01191800C,2019-01-18,C
2018-01-23,2018-01-23,10.6,7.5,1800.0,1034.0,1800,9.05,9.05,9.05,SPX01191800P,2019-01-18,P
2018-01-23,2018-01-23,1027.9,1014.2,1825.0,0.0,1825,1021.05,1021.05,1021.05,SPX01191825C,2019-01-18,C
2018-01-23,2018-01-23,11.3,8.1,1825.0,1.0,1825,9.7,9.7,9.7,SPX01191825P,2019-01-18,P
2018-01-23,2018-01-23,1004.2,990.6,1850.0,0.0,1850,997.4,997.4,997.4,SPX01191850C,2019-01-18,C
2018-01-23,2018-01-23,12.0,8.9,1850.0,1008.0,1850,10.45,10.45,10.45,SPX01191850P,2019-01-18,P
2018-01-23,2018-01-23,980.5,966.9,1875.0,0.0,1875,973.7,973.7,973.7,SPX01191875C,2019-01-18,C
2018-01-23,2018-01-23,12.8,9.7,1875.0,1.0,1875,11.25,11.25,11.25,SPX01191875P,2019-01-18,P
2018-01-23,2018-01-23,956.9,943.4,1900.0,0.0,1900,950.15,950.15,950.15,SPX01191900C,2019-01-18,C
2018-01-23,2018-01-23,13.7,10.6,1900.0,2101.0,1900,12.15,12.15,12.15,SPX01191900P,2019-01-18,P
2018-01-23,2018-01-23,933.3,919.9,1925.0,9.0,1925,926.6,926.6,926.6,SPX01191925C,2019-01-18,C
2018-01-23,2018-01-23,14.6,11.4,1925.0,12.0,1925,13.0,13.0,13.0,SPX01191925P,2019-01-18,P
2018-01-23,2018-01-23,909.8,896.4,1950.0,9.0,1950,903.1,903.1,903.1,SPX01191950C,2019-01-18,C
2018-01-23,2018-01-23,15.5,12.4,1950.0,236.0,1950,13.95,13.95,13.95,SPX01191950P,2019-01-18,P
2018-01-23,2018-01-23,886.3,873.0,1975.0,11.0,1975,879.35,879.35,879.35,SPX01191975C,2019-01-18,C
2018-01-23,2018-01-23,16.6,13.4,1975.0,6299.0,1975,15.0,15.0,15.0,SPX01191975P,2019-01-18,P
2018-01-23,2018-01-23,862.9,849.7,2000.0,2.0,2000,856.3,856.3,856.3,SPX01192000C,2019-01-18,C
2018-01-23,2018-01-23,17.7,14.5,2000.0,215.0,2000,16.1,16.1,16.1,SPX01192000P,2019-01-18,P
2018-01-23,2018-01-23,839.6,826.5,2025.0,0.0,2025,833.05,833.05,833.05,SPX01192025C,2019-01-18,C
2018-01-23,2018-01-23,18.8,15.6,2025.0,752.0,2025,17.2,17.2,17.2,SPX01192025P,2019-01-18,P
2018-01-23,2018-01-23,816.3,803.3,2050.0,0.0,2050,809.8,809.8,809.8,SPX01192050C,2019-01-18,C
2018-01-23,2018-01-23,20.1,16.8,2050.0,1701.0,2050,18.45,18.45,18.45,SPX01192050P,2019-01-18,P
2018-01-23,2018-01-23,793.2,780.2,2075.0,0.0,2075,786.7,786.7,786.7,SPX01192075C,2019-01-18,C
2018-01-23,2018-01-23,21.5,18.1,2075.0,13.0,2075,19.8,19.8,19.8,SPX01192075P,2019-01-18,P
2018-01-23,2018-01-23,770.1,757.2,2100.0,7.0,2100,763.65,763.65,763.65,SPX01192100C,2019-01-18,C
2018-01-23,2018-01-23,22.9,19.4,2100.0,2862.0,2100,21.0,21.0,21.0,SPX01192100P,2019-01-18,P
2018-01-23,2018-01-23,747.1,734.3,2125.0,0.0,2125,740.7,740.7,740.7,SPX01192125C,2019-01-18,C
2018-01-23,2018-01-23,24.4,20.9,2125.0,963.0,2125,22.0,22.0,22.0,SPX01192125P,2019-01-18,P
2018-01-23,2018-01-23,724.2,711.5,2150.0,0.0,2150,717.85,717.85,717.85,SPX01192150C,2019-01-18,C
2018-01-23,2018-01-23,26.1,22.4,2150.0,2001.0,2150,24.2,23.9,23.9,SPX01192150P,2019-01-18,P
2018-01-23,2018-01-23,701.4,688.8,2175.0,0.0,2175,695.1,695.1,695.1,SPX01192175C,2019-01-18,C
2018-01-23,2018-01-23,27.8,24.0,2175.0,53.0,2175,25.9,25.9,25.9,SPX01192175P,2019-01-18,P
2018-01-23,2018-01-23,678.7,666.2,2200.0,155.0,2200,672.45,672.45,672.45,SPX01192200C,2019-01-18,C
2018-01-23,2018-01-23,29.7,25.8,2200.0,4715.0,2200,28.0,27.54,27.54,SPX01192200P,2019-01-18,P
2018-01-23,2018-01-23,656.1,643.7,2225.0,12.0,2225,649.9,649.9,649.9,SPX01192225C,2019-01-18,C
2018-01-23,2018-01-23,31.6,27.6,2225.0,436.0,2225,29.6,29.6,29.6,SPX01192225P,2019-01-18,P
2018-01-23,2018-01-23,633.6,621.3,2250.0,13.0,2250,627.45,627.45,627.45,SPX01192250C,2019-01-18,C
2018-01-23,2018-01-23,33.7,29.6,2250.0,1352.0,2250,31.7,30.8,30.8,SPX01192250P,2019-01-18,P
2018-01-23,2018-01-23,611.3,599.0,2275.0,1.0,2275,605.15,605.15,605.15,SPX01192275C,2019-01-18,C
2018-01-23,2018-01-23,35.9,31.7,2275.0,708.0,2275,33.8,33.8,33.8,SPX01192275P,2019-01-18,P
2018-01-23,2018-01-23,589.0,576.9,2300.0,274.0,2300,582.95,582.95,582.95,SPX01192300C,2019-01-18,C
2018-01-23,2018-01-23,38.2,34.0,2300.0,955.0,2300,36.1,36.1,36.1,SPX01192300P,2019-01-18,P
2018-01-23,2018-01-23,567.0,555.0,2325.0,50.0,2325,561.0,561.0,561.0,SPX01192325C,2019-01-18,C
2018-01-23,2018-01-23,40.7,36.3,2325.0,100.0,2325,38.5,38.5,38.5,SPX01192325P,2019-01-18,P
2018-01-23,2018-01-23,545.1,533.2,2350.0,91.0,2350,539.15,539.15,539.15,SPX01192350C,2019-01-18,C
2018-01-23,2018-01-23,43.3,38.8,2350.0,841.0,2350,41.05,41.05,41.05,SPX01192350P,2019-01-18,P
2018-01-23,2018-01-23,523.3,511.6,2375.0,64.0,2375,517.45,517.45,517.45,SPX01192375C,2019-01-18,C
